date,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1994-03-31,,,,,,,,,,,,,,,7700000,,,,,,,,,,7700000,,,,,7700000,,,,,,,,,,,,,,,1800000,,,,1300000,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,,,,,,10600000,,,,,,,,,,10600000,,,,,10600000,,,,,,,,,,,,,,,1300000,,,,1300000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,,,,,,,14500000,,,,,,,,,,14500000,,,,,14500000,,,,,,,,,,,,,,,1600000,,,,1600000,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,,,,,152400000.0,,,421100000.0,,41900000,,,,2400000.0,,,,,,18600000,,421100000.0,,,41900000,,,,439200000.0,232800000.0,,,,,,,,,,2400000,,,,2400000,2400000,,,,,,,,,,,,,,243100000.0,,,,,,,,,,,,,
1995-03-31,,,-700000.0,500000.0,,,,5000000.0,,149900000.0,-5000000.0,-400000.0,438100000.0,,33600000,,,800000.0,-100000.0,,13200000.0,,,-15500000.0,20300000,5900000.0,438100000.0,,,29900000,-400000.0,,,455200000.0,251500000.0,,,-1400000.0,-9600000.0,,,,3700000.0,,1800000,,3200000.0,,1800000,1800000,,,,,,,5100000.0,-9600000.0,,,-4300000.0,-20500000.0,-1200000.0,262300000.0,,,,,,,,,,,,,
1995-06-30,,,900000.0,,,,,,,202200000.0,-63000000.0,-4100000.0,544600000.0,,34700000,,,100000.0,-6500000.0,,55700000.0,,,-100000.0,21100000,6800000.0,544600000.0,,,30900000,800000.0,,,571000000.0,306900000.0,,,-500000.0,6700000.0,,,,3800000.0,,2200000,,3200000.0,,2200000,2200000,,,,,,,5300000.0,-9800000.0,,,-4300000.0,-63100000.0,-1300000.0,327700000.0,,,,,,,,,,,,,
1995-09-30,,,5700000.0,,,,,,,204900000.0,-6200000.0,-800000.0,546400000.0,,44100000,,,-6900000.0,-3700000.0,,-10500000.0,0.0,,0.0,26400000,16200000.0,546400000.0,,,39400000,15600000.0,,,565900000.0,302800000.0,,,-700000.0,16200000.0,,,,4700000.0,,2700000,,4000000.0,,2700000,2700000,,,,,,,6100000.0,-13000000.0,,,-5200000.0,-6200000.0,-1200000.0,319200000.0,,,,,,,,,,,,,
1995-12-31,,,-800000.0,-1900000.0,,,,,,202300000.0,69400000.0,-5600000.0,549300000.0,,44900000,,,3300000.0,-6100000.0,,-55500000.0,-58100000.0,,-19400000.0,26900000,6100000.0,549300000.0,,,39800000,-5400000.0,,,565300000.0,307900000.0,,,700000.0,-13300000.0,,,,5100000.0,,3100000,,4100000.0,,3100000,3100000,,,,,,,6100000.0,-12900000.0,,,-4500000.0,50000000.0,-1800000.0,322000000.0,,,,,,,,,,,,,
1996-03-31,,,-2600000.0,-1800000.0,,,,3000000.0,,199800000.0,-4400000.0,-18700000.0,563000000.0,,45300000,,,5100000.0,-8700000.0,,13200000.0,100000.0,,-14400000.0,27100000,4600000.0,563000000.0,,,40000000,-8800000.0,,,581200000.0,328800000.0,,,-1000000.0,-9800000.0,,,,5300000.0,,3000000,,4400000.0,,3000000,3000000,,,,,,,6200000.0,-12900000.0,,,-5600000.0,-18800000.0,-2100000.0,341000000.0,,,,,,,,,,,,,
1996-06-30,,,-7200000.0,2000000.0,,,,,,198800000.0,-6500000.0,9800000.0,548600000.0,,47700000,,,4300000.0,-9700000.0,,-13800000.0,0.0,,100000.0,29300000,3800000.0,548600000.0,,,42300000,-10400000.0,,,574200000.0,321700000.0,,,400000.0,3900000.0,,,,5400000.0,,4600000,,4200000.0,,4600000,4600000,2000000.0,,,,,,6600000.0,-13000000.0,,,-5600000.0,10400000.0,-1200000.0,335200000.0,,,,,,,,,,,,,
1996-09-30,,-100000.0,6100000.0,2500000.0,,,,,,196200000.0,-3700000.0,-6500000.0,579900000.0,,47500000,,,-8000000.0,-12500000.0,,18900000.0,100000.0,,-32300000.0,28300000,17700000.0,579900000.0,,,41900000,17200000.0,,,600100000.0,347500000.0,,,500000.0,-14600000.0,,,,5600000.0,,2800000,,4500000.0,,2800000,2800000,,,,,,,6700000.0,-13600000.0,,,-5500000.0,-36100000.0,-1500000.0,364300000.0,,,,,,,,,,,,,
1996-12-31,,400000.0,2200000.0,-700000.0,744000.0,,-260000.0,,129000.0,241384000.0,14596000.0,973000.0,592335000.0,,-102769000,-49558000.0,,-927000.0,-15174000.0,,15125000.0,71000.0,,-40932000.0,27282000,11918000.0,641893000.0,,,-108712000,3042000.0,,,611199000.0,315239000.0,,,1107000.0,-29014000.0,,12182000.0,,5943000.0,,3860000,,-6946000.0,,3860000,2870000,300000.0,,4053000.0,4053000.0,,,6300000.0,135994000.0,,,-10612000.0,-25936000.0,2444000.0,330577000.0,,,,,,,,,,,,,
1997-03-31,,,-200000.0,-2800000.0,,,,4100000.0,,296900000.0,,-24900000.0,638300000.0,,50100000,,,3800000.0,-18400000.0,,29200000.0,62600000.0,,-38000000.0,29800000,7900000.0,638300000.0,,,43900000,-6000000.0,,,656300000.0,304200000.0,,,-900000.0,-30100000.0,,,,6200000.0,,3900000,,4500000.0,,3900000,2700000,,,,,,,6500000.0,-14100000.0,,,-7000000.0,-38000000.0,-1500000.0,316800000.0,,,,,,,,,,,,,
1997-06-30,,,100000.0,3100000.0,,,,,,294400000.0,,23700000.0,683300000.0,,55000000,,,-2000000.0,-22100000.0,,27700000.0,4000000.0,,-41200000.0,32700000,15600000.0,683300000.0,,,48300000,6400000.0,,,703200000.0,347900000.0,,,2100000.0,-25600000.0,,,,6700000.0,,4600000,,5100000.0,,4600000,3400000,,,,,,,6600000.0,-15600000.0,,,-8400000.0,-41200000.0,-1400000.0,363800000.0,,,,,,,,,,,,,
1997-09-30,,,-2100000.0,3700000.0,,,,,,290500000.0,,-17500000.0,714900000.0,,58100000,,,-1100000.0,-26200000.0,,4500000.0,100000.0,,-17400000.0,34400000,13400000.0,714900000.0,,,51100000,3200000.0,,,737300000.0,382100000.0,,,500000.0,-4000000.0,,,,7000000.0,,4300000,,5400000.0,,4300000,3100000,,,,,,,7200000.0,-16700000.0,,,-12300000.0,-17400000.0,16800000.0,401400000.0,,,,,,,,,,,,,
1997-12-31,,,-400000.0,-8400000.0,10098000.0,,,,224000.0,461500000.0,,-248303000.0,1134704000.0,,-83069000,-76129000.0,,9512000.0,-38371000.0,,42818000.0,99158000.0,,-15985000.0,42116000,7897000.0,1210833000.0,,,-91915000,-17610000.0,,,1194070000.0,632213000.0,,,9052000.0,-8088000.0,,,,8846000.0,,-1473000,,-8398000.0,,7149000,-3125000,,,14805000.0,14805000.0,,,8600000.0,134031000.0,,,-12071000.0,-41663000.0,54889000.0,669705000.0,,,,,,,,,,,,,
1998-03-31,,,-700000.0,1400000.0,,,,14800000.0,,457600000.0,,-178900000.0,1161400000.0,,89500000,,,-300000.0,-42600000.0,,19800000.0,2500000.0,,-37100000.0,51000000,14900000.0,1161400000.0,,,78000000,1400000.0,,,1222500000.0,666100000.0,,,-2400000.0,-22200000.0,,,,11500000.0,,6600000,,5500000.0,,7000000,4300000,,,,,,,11000000.0,-27000000.0,,,-12000000.0,-37100000.0,-1400000.0,700300000.0,,,,,,,,,,,,,
1998-06-30,,,3000000.0,-3700000.0,,,,,,504500000.0,,-41100000.0,1194100000.0,,92000000,,,1000000.0,-48900000.0,,3200000.0,6100000.0,,-31400000.0,52600000,23000000.0,1194100000.0,,,80100000,-1400000.0,,,1251800000.0,648900000.0,,,300000.0,-8400000.0,,,,11900000.0,,6100000,,6000000.0,,6700000,3800000,,,,,,,11700000.0,-27500000.0,,,-12500000.0,-25900000.0,-6800000.0,684300000.0,,,,,,,,,,,,,
1998-09-30,,,-700000.0,4100000.0,,,,,,498200000.0,-100000.0,15700000.0,1265600000.0,,98600000,,,-2500000.0,-55500000.0,,58100000.0,0.0,,-82700000.0,56100000,23500000.0,1265600000.0,,,86500000,6800000.0,,,1321900000.0,722900000.0,,,-1200000.0,-59200000.0,,,,12100000.0,,7200000,,6300000.0,,7200000,3800000,,,,,,,11600000.0,-30400000.0,,,-18600000.0,-82800000.0,2900000.0,762100000.0,,,,,,,,,,,,,
1998-12-31,,,3600000.0,-5000000.0,10384000.0,,,,258000.0,517299000.0,-10800000.0,-13368000.0,1315368000.0,,-156434000,-117773000.0,,3767000.0,-63876000.0,,29534000.0,986000.0,,-52831000.0,55843000,19005000.0,1433141000.0,,,-169303000,-4478000.0,,,1366427000.0,753427000.0,,,-4268000.0,-33826000.0,,,,12869000.0,,6857000,,-5840000.0,,6847000,3427000,,,7237000.0,7237000.0,,,11400000.0,225146000.0,,,-15447000.0,-52807000.0,5139000.0,787687000.0,,,,,,,,,,,,,
1999-03-31,,,-2400000.0,-2000000.0,,,,7200000.0,,514400000.0,43300000.0,-23700000.0,1276100000.0,,106100000,,,900000.0,-67800000.0,,-27800000.0,1000000.0,,-24800000.0,61800000,16300000.0,1276100000.0,,,92900000,-8800000.0,,,1351500000.0,741500000.0,,,7000000.0,-8500000.0,,,,13200000.0,,10900000,,6500000.0,,11000000,6900000,4700000.0,,,,,,12000000.0,-31100000.0,,,-16600000.0,18500000.0,-300000.0,776200000.0,,,,,,,,,,,,,
1999-06-30,,,1300000.0,1500000.0,,,,,,505100000.0,31200000.0,-10900000.0,1270600000.0,,96500000,,,1100000.0,-78800000.0,,-26200000.0,1900000.0,,-28400000.0,52000000,22700000.0,1270600000.0,,,83200000,5600000.0,,,1323200000.0,729100000.0,,,-700000.0,-5700000.0,,,,13300000.0,,2700000,,6300000.0,,2700000,-1300000,-4400000.0,,,,,,12200000.0,-31200000.0,,,-13200000.0,2800000.0,-4000000.0,759500000.0,,,,,,,,,,,,,
1999-09-30,,,400000.0,7200000.0,,,,13600000.0,200000.0,499200000.0,26200000.0,-10700000.0,1258400000.0,,102600000,,,-11800000.0,-84400000.0,,-29000000.0,-1600000.0,,-23600000.0,57000000,27200000.0,1258400000.0,,,89300000,15200000.0,,,1315800000.0,718600000.0,,,900000.0,3600000.0,,,,13300000.0,,10500000,,6300000.0,,10500000,6500000,5100000.0,,,,,,12100000.0,-32300000.0,14400000.0,,-20000000.0,2600000.0,3300000.0,758700000.0,,,,,,,,,,,,,
