date,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue
1994-12-31,975644472.0,72400000.0,,,5400000.0,15800000.0,22500000.0,-9700000.0,,,400000.0,,1300000.0,1300000.0,6500000.0,,1300000.0,400000.0,,0.001252,26600000.0,2400000.0,26600000.0,,,9500000.0,,0.0,21100000.0,,-200000.0,800000.0,,9500000.0,200000.0,0.0,-9800000.0,1100000.0,,,,,3700000.0,,,,10400000.0,975644472.0,0.0,62900000.0,0.0,,-300000.0,1200000.0,,,1700000,,-11700000.0,,100000.0,,-4500000.0,,2200000.0,26200000,-9600000.0,-200000.0,,0.001252,,49900000.0,9100000.0,1500000.0,,900000,
1995-03-31,,68883000.0,,,3153000.0,2093000.0,22566000.0,10762000.0,5566000.0,,510000.0,,-320000.0,-320000.0,3376000.0,,-320000.0,492000.0,,,37335000.0,1972000.0,37335000.0,,,5233000.0,,37355000.0,20863000.0,,844000.0,542000.0,,6179000.0,60000.0,-1501000.0,10580000.0,362000.0,451000.0,,,,2516000.0,0.0,,-141000.0,4476000.0,,0.0,62704000.0,1544000.0,,-1342000.0,1643000.0,55000.0,,-215000,,11069000.0,,-1410000.0,,-4822000.0,91000.0,1974000.0,6569000,11280000.0,-700000.0,-265000.0,,,46317000.0,5669000.0,2985000.0,,-757000,
1995-06-30,1034033944.0,65108000.0,,,0.0,1554000.0,22625000.0,-3722000.0,2761000.0,2442000.0,505000.0,,-5528000.0,-5528000.0,2879000.0,20542000.0,-5528000.0,0.0,,-0.005425,33633000.0,2756000.0,33633000.0,1631000.0,,7779000.0,,33633000.0,,,-638000.0,,,7945000.0,63000.0,,-3707000.0,535000.0,,,,,3367000.0,0.0,,-156000.0,1765000.0,1034033944.0,37355000.0,57163000.0,0.0,,-1342000.0,2020000.0,39000.0,2459000.0,-5693000,,,,0.0,,-10350000.0,,4579000.0,3319000,-3069000.0,-638000.0,-5489000.0,-0.005425,,42483000.0,7440000.0,3362000.0,,-6014000,
1995-09-30,1082942586.0,71697000.0,,,0.0,6743000.0,22787000.0,-2809000.0,11427000.0,5491000.0,500000.0,,2765000.0,2765000.0,5353000.0,,2765000.0,0.0,,0.002504,30824000.0,3097000.0,30824000.0,2401000.0,,9739000.0,,30824000.0,20221000.0,,-736000.0,,,11683000.0,110000.0,,-2897000.0,528000.0,,,,,3291000.0,0.0,,-194000.0,12105000.0,1082942586.0,33633000.0,60014000.0,0.0,,-1342000.0,2456000.0,10000.0,-4926000.0,2687000,,,,126000.0,,-7585000.0,,4065000.0,18848000,-2161000.0,-736000.0,2775000.0,0.002504,,48910000.0,11183000.0,3798000.0,,2366000,
1995-12-31,1093347650.0,69660000.0,,,0.0,7131000.0,23094000.0,-2747000.0,11575000.0,6744000.0,495000.0,,1948000.0,1948000.0,4390000.0,19901000.0,1948000.0,0.0,,0.001808,28077000.0,2670000.0,28077000.0,1740000.0,,8874000.0,,28077000.0,,,-870000.0,,,12966000.0,229000.0,0.0,2520000.0,866000.0,,,,,3987000.0,0.0,,-271000.0,10447000.0,1093347650.0,30824000.0,56694000.0,0.0,,-1342000.0,2964000.0,34000.0,1442000.0,1894000,,,,-5190000.0,,-5638000.0,88000.0,4163000.0,17578000,3390000.0,-870000.0,1982000.0,0.001808,,46566000.0,12471000.0,4306000.0,,1573000,
1996-03-31,,77613000.0,,,0.0,6321000.0,23106000.0,-2789000.0,19909000.0,9688000.0,334000.0,,6345000.0,6345000.0,5612000.0,19580000.0,6345000.0,0.0,,,25288000.0,2975000.0,25288000.0,,,10720000.0,,25288000.0,,,-801000.0,,,14614000.0,200000.0,0.0,-2747000.0,1183000.0,,,0.0,,4592000.0,0.0,,-335000.0,15327000.0,,28077000.0,62999000.0,0.0,,-2682000.0,3326000.0,-1374000.0,849000.0,4927000,,,,23000.0,,708000.0,23000.0,4698000.0,21648000,-1946000.0,-801000.0,4971000.0,,,54507000.0,14280000.0,6008000.0,,4607000,
1996-06-30,992924131.0,74242000.0,,,0.0,1509000.0,24304000.0,-2474000.0,13726000.0,9416000.0,329000.0,,-2631000.0,-2631000.0,4870000.0,19260000.0,-2631000.0,0.0,,-0.002642,22814000.0,3439000.0,22814000.0,,,9738000.0,,22814000.0,,,-1089000.0,,,12687000.0,1070000.0,0.0,-2839000.0,1636000.0,,,,,2942000.0,0.0,,-302000.0,5512000.0,992924131.0,25288000.0,61555000.0,0.0,,-2682000.0,3974000.0,-1283000.0,881000.0,-3905000,,,,332000.0,,-1923000.0,332000.0,4547000.0,7021000,-1750000.0,-1089000.0,-3914000.0,-0.002642,,49938000.0,12358000.0,6656000.0,,-4226000,
1996-09-30,1046069306.0,78733000.0,,,0.0,5712000.0,24190000.0,-5466000.0,23670000.0,9145000.0,324000.0,,1336000.0,1336000.0,6766000.0,18939000.0,1336000.0,0.0,,0.001251,17348000.0,3591000.0,17348000.0,,,11694000.0,,17348000.0,,,-713000.0,,,15470000.0,1051000.0,0.0,-5838000.0,1483000.0,,,,,6001000.0,0.0,,-305000.0,13463000.0,1046069306.0,22814000.0,63263000.0,0.0,,-2682000.0,4200000.0,677000.0,-6461000.0,2090000,,,,375000.0,,-587000.0,375000.0,4607000.0,19175000,-5125000.0,-713000.0,2013000.0,0.001251,,54543000.0,15146000.0,6882000.0,,1769000,
1996-12-31,1052734301.0,85841000.0,,,0.0,11878000.0,23064000.0,-12000.0,33373000.0,10130000.0,319000.0,,4120000.0,4120000.0,8245000.0,18618000.0,4120000.0,0.0,,0.003912,17336000.0,3275000.0,17336000.0,,,13273000.0,,17336000.0,,,-547000.0,,,17992000.0,260000.0,0.0,-418000.0,1500000.0,,,,,7543000.0,0.0,,-202000.0,19483000.0,1052734301.0,17348000.0,67849000.0,0.0,,-2682000.0,4186000.0,2262000.0,-3991000.0,6531000,,,,303000.0,,3533000.0,303000.0,4707000.0,31361000,129000.0,-547000.0,6382000.0,0.003912,,62777000.0,17673000.0,6868000.0,,6210000,
1997-03-31,,95670000.0,,,0.0,10723000.0,27870000.0,303000.0,36367000.0,7808000.0,,,4282000.0,4282000.0,7511000.0,18313000.0,4282000.0,0.0,,,17639000.0,4520000.0,17639000.0,,,12149000.0,,17639000.0,,,-1483000.0,,,14862000.0,255000.0,179000.0,-1064000.0,0.0,,,,,7054000.0,0.0,,-213000.0,18203000.0,,17336000.0,80808000.0,0.0,,-4734000.0,5090000.0,1968000.0,,6358000,,,,1378000.0,,7815000.0,1199000.0,4334000.0,28926000,419000.0,-1483000.0,6250000.0,,,67800000.0,14862000.0,9824000.0,,6054000,
1997-06-30,1022382178.0,87929000.0,,,0.0,4275000.0,29726000.0,-3213000.0,24190000.0,6054000.0,,,-5088000.0,-5088000.0,6022000.0,18383000.0,-5088000.0,0.0,,-0.005007,14426000.0,3675000.0,14426000.0,,,12131000.0,,14426000.0,,,-2602000.0,898000.0,,10600000.0,257000.0,0.0,-4672000.0,2590000.0,845000.0,,,,4546000.0,0.0,,-142000.0,3808000.0,1022382178.0,17639000.0,77329000.0,0.0,,-4734000.0,6874000.0,-3103000.0,,-7425000,,5238000.0,-3118000.0,1388000.0,,2727000.0,1388000.0,5803000.0,8083000,-2070000.0,-2602000.0,-8191000.0,-0.005007,,58203000.0,10600000.0,11608000.0,,-8323000,
1997-09-30,1158607107.0,102072000.0,189000.0,959000.0,0.0,11218000.0,32205000.0,-4140000.0,38920000.0,10625000.0,1148000.0,,2106000.0,2106000.0,9527000.0,17934000.0,2106000.0,100000.0,,0.001808,10286000.0,5306000.0,10286000.0,,,17382000.0,423000.0,10286000.0,,,-3096000.0,902000.0,,20915000.0,246000.0,1612000.0,-6681000.0,2632000.0,-1631000.0,,,,8719000.0,0.0,,-403000.0,20697000.0,1158607107.0,14426000.0,81157000.0,-143000.0,,-4734000.0,9360000.0,1290000.0,,4217000,,-6761000.0,400000.0,2945000.0,,4032000.0,1333000.0,7550000.0,31915000,-3728000.0,-2953000.0,3396000.0,0.001808,,69867000.0,19767000.0,14094000.0,,3315000,
1997-12-31,1439687904.0,262353000.0,135000.0,61157000.0,0.0,77078000.0,41845000.0,77612000.0,99431000.0,25278000.0,61292000.0,,9278000.0,9278000.0,19986000.0,23838000.0,9278000.0,-1474000.0,,0.006987,91617000.0,17588000.0,91617000.0,,,28435000.0,1812000.0,91617000.0,,232000.0,-3429000.0,2071000.0,,164965000.0,2426000.0,-130000.0,20050000.0,2440000.0,-8581000.0,,,,76583000.0,0.0,,-21000.0,45063000.0,1335781032.0,10286000.0,97388000.0,-2541000.0,,-4734000.0,10916000.0,5644000.0,,18699000,,6435000.0,3128000.0,60067000.0,,13544000.0,67479000.0,8045000.0,122141000,20692000.0,-642000.0,14922000.0,0.006538,,220508000.0,103673000.0,15650000.0,,16628000,
1998-03-31,,217407000.0,88000.0,61235000.0,14860000.0,36034000.0,41079000.0,-18239000.0,69812000.0,,61323000.0,,126000.0,126000.0,14869000.0,23473000.0,126000.0,0.0,,,73378000.0,14920000.0,73378000.0,,,21702000.0,781000.0,73378000.0,,1428000.0,-73000.0,1341000.0,44000.0,117114000.0,2313000.0,-106000.0,-10285000.0,1922000.0,2730000.0,,,,40150000.0,0.0,,92000.0,22222000.0,,91617000.0,100293000.0,-6316000.0,,-4734000.0,10628000.0,77000.0,,1861000,,-15337000.0,-1973000.0,-2008000.0,,13680000.0,-64862000.0,6430000.0,58256000,-16282000.0,5997000.0,203000.0,,,176328000.0,55791000.0,15362000.0,,520000,
1998-06-30,1438824812.0,201716000.0,87000.0,61107000.0,0.0,34811000.0,40510000.0,-12934000.0,54879000.0,16459000.0,61194000.0,,-3804000.0,-3804000.0,16601000.0,22998000.0,-3804000.0,-514000.0,,-0.002643,60444000.0,17057000.0,60444000.0,,,22690000.0,557000.0,60444000.0,,,-185000.0,1348000.0,,107493000.0,2546000.0,0.0,-12340000.0,2749000.0,-2002000.0,,,,29283000.0,0.0,,-709000.0,17069000.0,1438824812.0,73378000.0,94223000.0,394000.0,,-11468000.0,10301000.0,-2331000.0,,-4273000,,-6285000.0,-3020000.0,-266000.0,,8296000.0,86000.0,5693000.0,51880000,-11761000.0,-579000.0,-6135000.0,-0.002643,,161206000.0,46299000.0,21769000.0,,-5621000,
1998-09-30,1579413142.0,228133000.0,89000.0,61496000.0,0.0,48832000.0,51457000.0,-18876000.0,66028000.0,19447000.0,61585000.0,,-2234000.0,-2234000.0,15378000.0,22760000.0,-2234000.0,-425000.0,,-0.001391,41568000.0,27243000.0,41568000.0,,,19708000.0,9665000.0,41568000.0,,824000.0,-630000.0,1431000.0,,131354000.0,12566000.0,0.0,-24854000.0,0.0,-4176000.0,,,,40657000.0,0.0,,83000.0,17350000.0,1579413142.0,60444000.0,96779000.0,260000.0,,-11468000.0,11466000.0,-1373000.0,,-927000,,-21285000.0,-1876000.0,5002000.0,,4780000.0,737000.0,3934000.0,66182000,-23964000.0,-890000.0,-3607000.0,-0.001391,,176676000.0,69769000.0,22934000.0,,-2358000,
1998-12-31,833892147.0,341970000.0,43000.0,60872000.0,0.0,131521000.0,49658000.0,9922000.0,154099000.0,39460000.0,60915000.0,,16022000.0,16022000.0,31305000.0,22279000.0,16022000.0,0.0,,0.010016,51490000.0,37250000.0,51490000.0,,,35688000.0,12303000.0,51490000.0,,854000.0,-1319000.0,2059000.0,,222089000.0,11508000.0,3000.0,4803000.0,0.0,-10007000.0,,,,109411000.0,0.0,,144000.0,62016000.0,709606694.0,41568000.0,119881000.0,-1000.0,,-11468000.0,11206000.0,9452000.0,,28387000,,-17982000.0,6022000.0,5058000.0,,20802000.0,3044000.0,3985000.0,193537000,6121000.0,-1318000.0,25474000.0,0.008903,,292312000.0,161174000.0,22674000.0,,26328000,
1999-03-31,,283612000.0,7000.0,61143000.0,0.0,82702000.0,47311000.0,-19506000.0,117522000.0,45142000.0,61150000.0,,5270000.0,5270000.0,24483000.0,21647000.0,5270000.0,0.0,,,32847000.0,30931000.0,32847000.0,,,32388000.0,5992000.0,32847000.0,,1013000.0,-62197000.0,28705000.0,,156137000.0,12205000.0,-3000.0,46669000.0,9960000.0,4679000.0,,,,43853000.0,0.0,,-2510000.0,42184000.0,,51490000.0,127475000.0,-61184000.0,,-11468000.0,10841000.0,3213000.0,,38501000,,11489000.0,2218000.0,-2574000.0,,26012000.0,2202000.0,7810000.0,124886000,47682000.0,-1013000.0,8483000.0,,,236301000.0,94987000.0,22309000.0,,9796000,
1999-06-30,1643234111.0,304481000.0,7000.0,80856000.0,0.0,63409000.0,84076000.0,-15079000.0,98157000.0,40838000.0,80863000.0,,-4358000.0,-4358000.0,21841000.0,,-4358000.0,0.0,,-0.002655,17768000.0,40028000.0,17768000.0,,,26491000.0,15006000.0,17768000.0,54585000.0,1160000.0,-32727000.0,9817000.0,,168234000.0,16317000.0,0.0,-11939000.0,12710000.0,-5816000.0,,,,31527000.0,0.0,,-3567000.0,20733000.0,1643234111.0,32847000.0,136247000.0,-11632000.0,,-15277000.0,10556000.0,-2560000.0,,4059000,,-17838000.0,1012000.0,29962000.0,,21654000.0,4590000.0,4181000.0,84142000,-11367000.0,-572000.0,-6918000.0,-0.002655,,220405000.0,87371000.0,25833000.0,,-5758000,
1999-09-30,1761429989.0,355163000.0,2000.0,79291000.0,0.0,77894000.0,86955000.0,7839000.0,127637000.0,61194000.0,79293000.0,,1063000.0,1063000.0,26613000.0,,1063000.0,-150000.0,,0.000556,25797000.0,40805000.0,25797000.0,,,33794000.0,25339000.0,25797000.0,53727000.0,1838000.0,-21751000.0,11889000.0,,205557000.0,19172000.0,0.0,8235000.0,14831000.0,-777000.0,,,,39731000.0,0.0,,-1745000.0,37469000.0,1761429989.0,17768000.0,149606000.0,-19993000.0,,-15277000.0,11438000.0,624000.0,,15564000,,765000.0,-3508000.0,17885000.0,,22217000.0,9117000.0,5819000.0,115363000,9993000.0,-1758000.0,1687000.0,0.000556,,268208000.0,126264000.0,26715000.0,,3675000,
1999-12-31,365777710.0,454968000.0,2000.0,76308000.0,0.0,179090000.0,81923000.0,25937000.0,215559000.0,75100000.0,76310000.0,,22301000.0,22301000.0,43925000.0,,22301000.0,0.0,,0.07417,51834000.0,42973000.0,51834000.0,,,51531000.0,41871000.0,51734000.0,52252000.0,2835000.0,-23496000.0,34240000.0,,279393000.0,16625000.0,0.0,36001000.0,19282000.0,-2168000.0,,,,86112000.0,0.0,,-3390000.0,89772000.0,300884955.0,25797000.0,175575000.0,-23306000.0,,-15277000.0,10428000.0,13105000.0,,72481000,,-34976000.0,14626000.0,15177000.0,,44518000.0,1628000.0,6235000.0,268862000,36191000.0,-190000.0,35406000.0,0.062503,,373045000.0,203083000.0,25705000.0,,38241000,
2000-03-31,,309737000.0,2000.0,73778000.0,49404000.0,90267000.0,45640000.0,-1749000.0,108108000.0,,73780000.0,,-52878000.0,-52878000.0,31597000.0,,-52878000.0,8411000.0,,,49985000.0,40453000.0,49985000.0,,,79712000.0,16260000.0,49985000.0,12347000.0,2578000.0,-21573000.0,68634000.0,,177728000.0,22478000.0,0.0,40574000.0,65551000.0,1419000.0,,,,38284000.0,0.0,,-6066000.0,13571000.0,,51734000.0,132009000.0,-19575000.0,,-19878000.0,10815000.0,-15691000.0,,2493000,,37488000.0,-16441000.0,-20996000.0,,-8361000.0,7145000.0,9699000.0,103838000,42572000.0,-1998000.0,-60158000.0,,,264097000.0,103948000.0,30693000.0,,-66141000,
2000-06-30,296241187.0,264347000.0,35000.0,70258000.0,0.0,57280000.0,52506000.0,-38396000.0,86895000.0,42218000.0,70293000.0,,-5179000.0,-5179000.0,25974000.0,,-5179000.0,0.0,,-0.017501,11589000.0,42888000.0,11589000.0,,,33776000.0,19860000.0,11589000.0,11705000.0,1723000.0,-19722000.0,14026000.0,,154487000.0,18491000.0,0.0,-3219000.0,17785000.0,-2435000.0,,-14971000.0,,22116000.0,0.0,,-8630000.0,27278000.0,296241187.0,49985000.0,109860000.0,-18095000.0,,-19878000.0,11304000.0,-3042000.0,,7528000,,-6027000.0,-4764000.0,-14804000.0,,-13540000.0,29000.0,7424000.0,84558000,-1592000.0,-1627000.0,-8221000.0,-0.017501,,211841000.0,84194000.0,31182000.0,,-6498000,
2000-09-30,309572520.0,329527000.0,27000.0,67657000.0,0.0,89170000.0,52362000.0,13615000.0,136868000.0,57646000.0,67684000.0,,4306000.0,4306000.0,34550000.0,,4306000.0,0.0,,0.015001,25204000.0,47242000.0,25204000.0,,,45657000.0,39792000.0,25204000.0,11174000.0,2683000.0,-19597000.0,23039000.0,,209606000.0,18638000.0,0.0,10220000.0,18000000.0,-4354000.0,,0.0,,44484000.0,0.0,,-9739000.0,55193000.0,286005699.0,11589000.0,119921000.0,-19087000.0,,-19878000.0,11419000.0,2547000.0,,32575000,,-16506000.0,-511000.0,23067000.0,,-9234000.0,5422000.0,11107000.0,144363000,12124000.0,-1904000.0,6853000.0,0.014167,,277165000.0,141922000.0,31297000.0,,9536000,
