date,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1984-03-31,110352000.0,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,110352000.0,,,,,84900000,,,,,,,,,84900000,84900000,,,,,,,,,4000000,,,,,,,,,,,,,,,,0.035,,,,,,,,
1984-06-30,110408000.0,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,110408000.0,,,,,88800000,,,,,,,,,88800000,88800000,,,,,,,,,3600000,,,,,,,,,,,,,,,,0.0325,,,,,,,,
1984-09-30,110480000.0,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,110480000.0,,,,,86100000,,,,,,,,,86100000,86100000,,,,,,,,,3600000,,,,,,,,,,,,,,,,0.0325,,,,,,,,
1984-12-31,,7300000.0,7300000.0,,,,,,269500000.0,,12600000.0,,,,,73700000.0,47600000.0,-49500000.0,,,,,,319000000.0,,,,,,,64200000.0,,,-200200000,,,98900000.0,,76800000.0,,298100000.0,39100000.0,89600000,-200200000,,,374900000.0,489700000.0,390800000.0,,,0.0,3800000,1000000.0,,,,,114800000.0,,,,14700000.0,283400000.0,,,7200000.0,,,,,,,,,,
1985-03-31,110560000.0,,,,,,,,,,,,,,,,,,,,,0.0475,,,,,,,110560000.0,,,,,73000000,,,,,,,,,73000000,73000000,,,,,,,,,5600000,,,,,,,,,,,,,,,,0.0475,,,,,,,,
1985-06-30,110536000.0,,,,,,,,,,,,,,,,,,,,,0.0425,,,,,,,110536000.0,,,,,95600000,,,,,,,,,95600000,95600000,,,,,,,,,5300000,,,,,,,,,,,,,,,,0.0425,,,,,,,,
1985-09-30,128216000.0,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,128216000.0,,,,,92600000,,,,,,,,,92600000,92600000,,,,,,,,,5200000,,,,,,,,,,,,,,,,0.04,,,,,,,,
1985-12-31,,32400000.0,32400000.0,,,,,,336500000.0,,13900000.0,,,,,79300000.0,141900000.0,-70700000.0,,,,,,407200000.0,,,,,,,80100000.0,,,-218000000,,,101600000.0,,94000000.0,,391800000.0,41500000.0,219900000,-218000000,,,485800000.0,659300000.0,557700000.0,,,7000000.0,5600000,5200000.0,,,,,173500000.0,,,,22800000.0,362000000.0,,,8300000.0,,,,,,,,,,
1986-03-31,129192000.0,,,,,,,,,,,,,,,,,,,,,0.0475,,,,,,,129192000.0,,,,,166500000,,,,,,,,,166500000,166500000,,,,,,,,,7200000,,,,,,,,,,,,,,,,0.0475,,,,,,,,
1986-06-30,142776000.0,,,,,,,,,,,,,,,,,,,,,0.0425,,,,,,,142776000.0,,,,,166500000,,,,,,,,,166500000,166500000,,,,,,,,,6600000,,,,,,,,,,,,,,,,0.0425,,,,,,,,
1986-09-30,142776000.0,,,,,,,,,,,,,,,,,,,,,0.0225,,,,,,,142776000.0,,,,,158200000,,,,,,,,,158200000,158200000,,,,,,,,,3000000,,,,,,,,,,,,,,,,0.0225,,,,,,,,
1986-12-31,,4700000.0,4700000.0,,,,,,329200000.0,,8600000.0,,,,,76400000.0,73200000.0,-94900000.0,,,,,,424100000.0,,,,,,,82100000.0,,,-424400000,,,123500000.0,,90700000.0,,373600000.0,43200000.0,175600000,-424400000,,,464300000.0,602300000.0,478800000.0,,,7700000.0,-5600000,35500000.0,,,,,138000000.0,,,,49200000.0,316700000.0,,,9400000.0,,,,,,,,,,
1987-03-31,118832000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,118832000.0,,,,,128900000,,,,,,,,,128900000,128900000,,,,,,,,,600000,,,,,,,,,,,,,,,,0.0,,,,,,,,
1987-06-30,118832000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,118832000.0,,,,,128900000,,,,,,,,,128900000,128900000,,,,,,,,,600000,,,,,,,,,,,,,,,,0.0,,,,,,,,
1987-09-30,118832000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,118832000.0,,,,,129000000,,,,,,,,,129000000,129000000,,,,,,,,,600000,,,,,,,,,,,,,,,,0.0,,,,,,,,
1987-12-31,,12500000.0,12500000.0,,,,,,344600000.0,,9100000.0,,,,,73200000.0,48900000.0,-119700000.0,,,,,,464300000.0,,,,,,,76700000.0,,,-329700000,,,95700000.0,,85800000.0,,325700000.0,54900000.0,388200000,-329700000,,,411500000.0,562400000.0,466700000.0,,,20500000.0,600000,1400000.0,,,,,150900000.0,,,,54100000.0,251100000.0,,,11300000.0,,,,,,,,,,
1988-03-31,117488000.0,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,117488000.0,,,,,145900000,,,,,,,,,145900000,145900000,,,,,,,,,3900000,,,,,,,,,,,,,,,,0.0325,,,,,,,,
1988-06-30,118832000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,118832000.0,,,,,137200000,,,,,,,,,137200000,137200000,,,,,,,,,2200000,,,,,,,,,,,,,,,,0.02,,,,,,,,
1988-09-30,117480000.0,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,117480000.0,,,,,133900000,,,,,,,,,133900000,133900000,,,,,,,,,100000,,,,,,,,,,,,,,,,0.0025,,,,,,,,
1988-12-31,,14000000.0,14000000.0,,,,,,338500000.0,,24300000.0,,,,,80400000.0,26900000.0,-145700000.0,,,,,,484200000.0,,,,,,,72100000.0,,,-374000000,,,97500000.0,,96400000.0,,290200000.0,61300000.0,137000000,-374000000,,,386600000.0,543300000.0,445800000.0,,,27600000.0,200000,1800000.0,,,,,156700000.0,,,,44300000.0,218300000.0,,,11400000.0,,,,,,,,,,
1989-03-31,117488000.0,,,,,,,,,,,,,,,,,,,,,0.0375,,,,,,,117488000.0,,,,,153500000,,,,,,,,,153500000,153500000,,,,,,,,,4500000,,,,,,,,,,,,,,,,0.0375,,,,,,,,
1989-06-30,117328000.0,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,117328000.0,,,,,147000000,,,,,,,,,147000000,147000000,,,,,,,,,2900000,,,,,,,,,,,,,,,,0.025,,,,,,,,
1989-09-30,116400000.0,,,,,,,,,,,,,,,,,,,,,0.0075,,,,,,,116400000.0,,,,,140200000,,,,,,,,,140200000,140200000,,,,,,,,,600000,,,,,,,,,,,,,,,,0.0075,,,,,,,,
1989-12-31,,21200000.0,21200000.0,,,,,,324600000.0,,13600000.0,,,,,72600000.0,24800000.0,-162800000.0,,,,,,487400000.0,,,29000000.0,,,,58200000.0,,,-401700000,,,104100000.0,,100800000.0,,267200000.0,67500000.0,146500000,-401700000,,,368000000.0,526100000.0,422000000.0,,,26200000.0,1000000,1800000.0,,,,,158100000.0,,,,35400000.0,205600000.0,,,11600000.0,,,,,,,,,,
1990-03-31,113144000.0,,,,,,,,,,,,,,,,,,,,,0.0475,,,,,,,113144000.0,,,,,166500000,,,,,,,,,166500000,166500000,,,,,,,,,5600000,,,,,,,,,,,,,,,,0.0475,,,,,,,,
1990-06-30,107692308.0,13200000.0,13200000.0,,,,5600000.0,,309700000.0,2100000.0,9700000.0,,,,5700000.0,71300000.0,25900000.0,-180400000.0,,,,0.0325,,490100000.0,,,72400000.0,,107692308.0,,16300000.0,,,20700000,,,120100000.0,,98400000.0,,263600000.0,76600000.0,151500000,11200000,,3500000.0,362000000.0,527000000.0,406900000.0,,3500000.0,29900000.0,3500000,2100000.0,,130800000.0,,,165000000.0,,,,35400000.0,198300000.0,9500000.0,100000.0,11700000.0,20700000.0,0.0325,,,,,,,,
1990-09-30,93333333.0,17100000.0,17100000.0,,,,2200000.0,0.0,316700000.0,800000.0,7800000.0,-12800000.0,-11500000.0,,5700000.0,70500000.0,25500000.0,-188300000.0,-100000.0,27700000.0,,0.015,-1400000.0,505000000.0,4000000.0,,78500000.0,14700000.0,93333333.0,,20800000.0,,,17500000,,200000.0,119800000.0,,107100000.0,9700000.0,259200000.0,78000000.0,150100000,7800000,,1400000.0,366300000.0,532500000.0,412700000.0,14900000.0,1400000.0,31700000.0,1400000,1900000.0,,132600000.0,500000.0,,166200000.0,,0.0,-12300000.0,35400000.0,192100000.0,9700000.0,100000.0,11600000.0,17500000.0,0.015,,,,,,,,
1990-12-31,,22900000.0,22900000.0,,,,1700000.0,0.0,314100000.0,600000.0,8400000.0,-1000000.0,11500000.0,,5500000.0,64400000.0,25200000.0,-195600000.0,100000.0,-2000000.0,,,0.0,509700000.0,5800000.0,,24000000.0,-21500000.0,,,60700000.0,,,16900000,,0.0,131300000.0,,93100000.0,9800000.0,274500000.0,79100000.0,158900000,7100000,,1100000.0,367600000.0,535000000.0,403700000.0,-3000000.0,1100000.0,33600000.0,1100000,1900000.0,,142000000.0,-6300000.0,,167400000.0,,0.0,-3700000.0,35300000.0,205600000.0,9800000.0,100000.0,12000000.0,16900000.0,,,,,,,,,
1991-03-31,117575758.0,13900000.0,13900000.0,,,,12600000.0,22900000.0,274800000.0,2900000.0,8100000.0,-7600000.0,-43800000.0,,4300000.0,62600000.0,37600000.0,-188100000.0,0.0,15100000.0,,0.0825,,462900000.0,-9000000.0,,79700000.0,-8100000.0,117575758.0,,18200000.0,,100000.0,25400000,,100000.0,135900000.0,8500000.0,106000000.0,8500000.0,231600000.0,88800000.0,178800000,16900000,,9700000.0,337600000.0,510900000.0,375000000.0,7500000.0,9700000.0,34200000.0,9700000,3600000.0,,144900000.0,1000000.0,,173300000.0,,0.0,19800000.0,35400000.0,162000000.0,17000000.0,100000.0,10700000.0,33900000.0,0.0825,,,,,,,,
1991-06-30,110476190.0,14600000.0,14600000.0,,,,9500000.0,0.0,270300000.0,3700000.0,8300000.0,-6600000.0,-10000000.0,,2900000.0,61800000.0,37200000.0,-194900000.0,0.0,12800000.0,,0.0525,,465200000.0,700000.0,,82300000.0,-4600000.0,110476190.0,,11700000.0,,0.0,20900000,,,134500000.0,8600000.0,102300000.0,8500000.0,222200000.0,94600000.0,168700000,12400000,,5800000.0,324500000.0,503800000.0,369300000.0,6200000.0,5800000.0,38000000.0,5800000,2400000.0,,139300000.0,4300000.0,,179300000.0,,0.0,-2300000.0,32400000.0,151800000.0,17000000.0,100000.0,11100000.0,29400000.0,0.0525,,,,,,,,
1991-09-30,100000000.0,14100000.0,14100000.0,,,,4200000.0,0.0,294100000.0,1700000.0,30000000.0,-9300000.0,-2400000.0,,2900000.0,61000000.0,34000000.0,-200700000.0,100000.0,19500000.0,,0.025,,494800000.0,-500000.0,,85700000.0,20600000.0,100000000.0,,5300000.0,,0.0,15800000,,,126000000.0,8600000.0,121000000.0,8700000.0,212200000.0,97100000.0,166400000,7000000,,2500000.0,333200000.0,515100000.0,389100000.0,10200000.0,2500000.0,39200000.0,2500000,2700000.0,,142000000.0,-18300000.0,,181900000.0,,0.0,-17500000.0,35400000.0,137600000.0,17400000.0,100000.0,11300000.0,24400000.0,0.025,,,,,,,,
1991-12-31,,22700000.0,22700000.0,,,,3900000.0,0.0,291900000.0,1600000.0,52600000.0,-5200000.0,11000000.0,,-1900000.0,42100000.0,25600000.0,-193800000.0,-100000.0,-200000.0,,,,485700000.0,8600000.0,-100000.0,26200000.0,-27500000.0,,,48000000.0,,100000.0,11100000,,200000.0,141100000.0,8700000.0,126800000.0,9300000.0,189500000.0,99400000.0,174000000,1800000,,2300000.0,316300000.0,500700000.0,359600000.0,-5400000.0,2300000.0,47500000.0,2300000,2600000.0,,154200000.0,0.0,,184400000.0,,0.0,-2200000.0,14800000.0,127200000.0,18000000.0,100000.0,11300000.0,19800000.0,,,,,,,,,
1992-03-31,113846154.0,6900000.0,6900000.0,,,,19900000.0,22700000.0,290900000.0,12500000.0,13800000.0,-7700000.0,-40600000.0,,3000000.0,28000000.0,26500000.0,-200200000.0,0.0,31100000.0,,0.065,,491100000.0,-15800000.0,10500000.0,70500000.0,-15000000.0,113846154.0,,18000000.0,,,44800000,,,141000000.0,8500000.0,102300000.0,21900000.0,192200000.0,106900000.0,202000000,22900000,,7400000.0,294500000.0,486400000.0,345400000.0,23400000.0,7400000.0,50900000.0,7400000,3300000.0,,148700000.0,-100000.0,,191900000.0,,0.0,-6400000.0,15800000.0,125500000.0,30400000.0,0.0,11200000.0,53300000.0,0.065,,,,,,,,
1992-06-30,110909091.0,2000000.0,2000000.0,,,,10000000.0,0.0,293300000.0,3900000.0,12100000.0,-11400000.0,-16300000.0,,3000000.0,27200000.0,26900000.0,-205100000.0,500000.0,21500000.0,,0.055,,498400000.0,-4900000.0,,,11100000.0,110909091.0,,84000000.0,,,21800000,,,125000000.0,8100000.0,96100000.0,8800000.0,177800000.0,113000000.0,174400000,13000000,,6100000.0,273900000.0,472400000.0,347400000.0,10100000.0,6100000.0,53600000.0,6100000,2300000.0,,144500000.0,2800000.0,,198500000.0,,0.0,-10000000.0,13800000.0,110400000.0,16900000.0,0.0,11600000.0,29900000.0,0.055,,,,,,,,
1992-09-30,104615385.0,300000.0,300000.0,,,,5700000.0,0.0,295200000.0,2300000.0,12200000.0,-5700000.0,-17300000.0,,2700000.0,32500000.0,27700000.0,-210100000.0,-100000.0,26900000.0,,0.0325,,505300000.0,-1700000.0,,,13800000.0,104615385.0,,78400000.0,,0.0,17000000,,,107700000.0,8500000.0,90600000.0,8700000.0,171800000.0,116400000.0,173700000,8300000,,3400000.0,262400000.0,463100000.0,355400000.0,21200000.0,3400000.0,57100000.0,3400000,2100000.0,,148200000.0,-5700000.0,,200700000.0,,0.0,-11400000.0,15800000.0,98900000.0,17200000.0,100000.0,11800000.0,25500000.0,0.0325,,,,,,,,
1992-12-31,,6700000.0,6700000.0,,,,5100000.0,0.0,295700000.0,2100000.0,3700000.0,-15600000.0,1900000.0,,2700000.0,33800000.0,24100000.0,-215500000.0,0.0,2200000.0,,,-1600000.0,511200000.0,6400000.0,-5000000.0,34500000.0,-9100000.0,,,46900000.0,,700000.0,17500000,,,118800000.0,8900000.0,85100000.0,9700000.0,184400000.0,119500000.0,181000000,7800000,,3000000.0,269500000.0,472400000.0,353600000.0,-13400000.0,3000000.0,60700000.0,3000000,7000000.0,,154600000.0,3000000.0,,202900000.0,,0.0,2400000.0,8700000.0,115000000.0,18600000.0,0.0,12400000.0,26400000.0,,,,,,,,,
1993-03-31,114666667.0,100000.0,100000.0,,,,13100000.0,6700000.0,299700000.0,4500000.0,3700000.0,-14000000.0,-8000000.0,,2600000.0,33100000.0,23100000.0,-221900000.0,0.0,13700000.0,,0.075,-600000.0,521600000.0,-6500000.0,3300000.0,71600000.0,-15100000.0,114666667.0,,14900000.0,,,24900000,,3400000.0,124000000.0,8300000.0,90200000.0,9100000.0,178700000.0,128100000.0,195300000,15800000,,8600000.0,268900000.0,479900000.0,355900000.0,-300000.0,8600000.0,62400000.0,8600000,12300000.0,,162100000.0,-100000.0,,211000000.0,,0.0,-12300000.0,8700000.0,107600000.0,17400000.0,-100000.0,12300000.0,33200000.0,0.075,,,,,,,,
1993-06-30,113043478.0,400000.0,400000.0,,,,9800000.0,0.0,303400000.0,3300000.0,3500000.0,-13600000.0,-18000000.0,,2100000.0,35100000.0,23800000.0,-229800000.0,0.0,30200000.0,,0.0575,-100000.0,533200000.0,200000.0,,82100000.0,10100000.0,113043478.0,,5800000.0,,,21100000,,12100000.0,114300000.0,8500000.0,91400000.0,9200000.0,167700000.0,134600000.0,187500000,11900000,,6500000.0,259100000.0,476600000.0,362300000.0,16600000.0,6500000.0,66400000.0,6500000,12700000.0,,157900000.0,100000.0,,217500000.0,,0.0,-11800000.0,8700000.0,92600000.0,17700000.0,0.0,12500000.0,29600000.0,0.0575,,,,,,,,
1993-09-30,109473684.0,1400000.0,1400000.0,,,,7500000.0,0.0,312800000.0,2300000.0,3900000.0,-22000000.0,-4400000.0,,2000000.0,39600000.0,21600000.0,-234600000.0,-100000.0,25600000.0,,0.0475,-2700000.0,547400000.0,1000000.0,,78100000.0,5900000.0,109473684.0,,6100000.0,,100000.0,19400000,,-11800000.0,104300000.0,8400000.0,88100000.0,9900000.0,170100000.0,139700000.0,186300000,9500000,,5200000.0,258200000.0,478300000.0,374000000.0,3600000.0,5200000.0,68300000.0,5200000,12600000.0,,158500000.0,0.0,,220100000.0,,0.0,-20200000.0,8700000.0,93100000.0,18300000.0,0.0,12700000.0,27800000.0,0.0475,,,,,,,,
1993-12-31,,600000.0,600000.0,,,,4800000.0,0.0,302400000.0,1000000.0,4300000.0,-12500000.0,-17000000.0,,1900000.0,38100000.0,17900000.0,-231500000.0,100000.0,15100000.0,,,200000.0,533900000.0,-800000.0,,34000000.0,7300000.0,,,48200000.0,,300000.0,17900000,,-2700000.0,102000000.0,9100000.0,86500000.0,11400000.0,149400000.0,143500000.0,192400000,6500000,,3800000.0,235900000.0,460400000.0,358400000.0,2600000.0,3800000.0,70400000.0,3800000,10200000.0,,165400000.0,100000.0,,224500000.0,,0.0,1000000.0,3900000.0,75100000.0,20500000.0,200000.0,12600000.0,27000000.0,,,,,,,,,
1994-03-31,114444444.0,2800000.0,2800000.0,,,,16800000.0,600000.0,307900000.0,6500000.0,4800000.0,-11900000.0,2600000.0,,1800000.0,37000000.0,17600000.0,-240100000.0,0.0,11300000.0,,0.09,,548000000.0,2200000.0,3500000.0,74400000.0,-15900000.0,114444444.0,,8300000.0,,300000.0,28500000,,100000.0,114000000.0,8500000.0,87500000.0,9900000.0,153700000.0,153800000.0,194400000,18600000,,10300000.0,241200000.0,476500000.0,362500000.0,-600000.0,10300000.0,71000000.0,10300000,13700000.0,,157400000.0,0.0,,235300000.0,,0.0,-11600000.0,3900000.0,78800000.0,18400000.0,0.0,12900000.0,37000000.0,0.09,,,,,,,,
1994-06-30,113103448.0,3700000.0,3700000.0,,,,13400000.0,0.0,310500000.0,5200000.0,4900000.0,-11400000.0,-7800000.0,,1400000.0,36000000.0,22300000.0,-248600000.0,0.0,23900000.0,,0.0725,,559100000.0,900000.0,-12700000.0,82300000.0,12400000.0,113103448.0,,0.0,,100000.0,25000000,,3300000.0,112200000.0,8500000.0,87200000.0,10300000.0,131100000.0,161900000.0,192200000,14700000,,8200000.0,218300000.0,481000000.0,368800000.0,12500000.0,8200000.0,72300000.0,8200000,17100000.0,,158700000.0,-4100000.0,,262700000.0,,0.0,-15300000.0,3900000.0,54900000.0,18800000.0,100000.0,13400000.0,33500000.0,0.0725,,,,,,,,
1994-09-30,110476190.0,1000000.0,1000000.0,,,,9600000.0,0.0,324400000.0,3800000.0,5100000.0,-27900000.0,1300000.0,,1500000.0,38600000.0,25300000.0,-256200000.0,-100000.0,19500000.0,,0.0525,,580600000.0,-2700000.0,-900000.0,85700000.0,7300000.0,110476190.0,,100000.0,,600000.0,22000000,,-7300000.0,109800000.0,8500000.0,90900000.0,10900000.0,140200000.0,167800000.0,191500000,11100000,,5800000.0,231100000.0,498100000.0,388300000.0,-8400000.0,5800000.0,78300000.0,5800000,18300000.0,,161000000.0,4100000.0,,267000000.0,,0.0,-23500000.0,3900000.0,58000000.0,19400000.0,0.0,14100000.0,30500000.0,0.0525,,,,,,,,
1994-12-31,,800000.0,800000.0,,,,7100000.0,0.0,331600000.0,2700000.0,7200000.0,-24500000.0,15300000.0,,1600000.0,38800000.0,32700000.0,-265100000.0,100000.0,5900000.0,,,-10900000.0,596700000.0,-200000.0,200000.0,37200000.0,-12100000.0,,,59400000.0,,0.0,20100000,,800000.0,118400000.0,363000000.0,103800000.0,11300000.0,157100000.0,172200000.0,204100000,8800000,,4400000.0,260900000.0,521500000.0,403100000.0,-18600000.0,4400000.0,72000000.0,4400000,17100000.0,,-179000000.0,-1000000.0,,260600000.0,,0.0,-21400000.0,,85100000.0,374300000.0,-100000.0,15700000.0,383100000.0,,,,,,,,,
1995-03-31,109767442.0,1800000.0,1800000.0,,,,19300000.0,800000.0,335400000.0,7500000.0,7200000.0,-13500000.0,-9800000.0,,1600000.0,37600000.0,34100000.0,-272700000.0,-100000.0,24100000.0,,0.1075,,608100000.0,1100000.0,7300000.0,92100000.0,-7100000.0,109767442.0,,17200000.0,,400000.0,32200000,,-3700000.0,132100000.0,104000000.0,116500000.0,11300000.0,149800000.0,184000000.0,220700000,20900000,,11800000.0,266300000.0,539200000.0,407100000.0,10600000.0,11800000.0,74800000.0,11800000,24000000.0,,84500000.0,-100000.0,,272900000.0,,0.0,-13300000.0,,75000000.0,115300000.0,0.0,15800000.0,136200000.0,0.1075,,,,,,,,
1995-06-30,112941176.0,3800000.0,3800000.0,,,,14500000.0,0.0,347600000.0,4900000.0,7600000.0,-22400000.0,-8400000.0,,1400000.0,37200000.0,45300000.0,-280800000.0,100000.0,33100000.0,,0.085,,628400000.0,1900000.0,-20400000.0,104400000.0,16200000.0,112941176.0,,2700000.0,,100000.0,27700000,,13700000.0,109500000.0,102500000.0,114700000.0,11800000.0,142300000.0,193600000.0,214200000,15900000,,9600000.0,257000000.0,539600000.0,430100000.0,10700000.0,9600000.0,75500000.0,9600000,18600000.0,,84100000.0,100000.0,,282600000.0,,0.0,-22600000.0,,66800000.0,114200000.0,0.0,15900000.0,130100000.0,0.085,,,,,,,,
1995-09-30,110769231.0,200000.0,200000.0,,,,11300000.0,0.0,407900000.0,4100000.0,7400000.0,-5600000.0,171800000.0,,3400000.0,140900000.0,57400000.0,-256900000.0,-100000.0,17400000.0,,0.065,,664800000.0,-3600000.0,-700000.0,115300000.0,-1600000.0,110769231.0,,5700000.0,,500000.0,27900000,,-5100000.0,135700000.0,114200000.0,128400000.0,13200000.0,323100000.0,200800000.0,234100000,14600000,,7200000.0,451500000.0,741900000.0,606200000.0,11800000.0,7200000.0,78300000.0,7200000,24500000.0,,92000000.0,-187400000.0,,290400000.0,,0.0,-193000000.0,,244800000.0,127500000.0,100000.0,19400000.0,142100000.0,0.065,,,,,,,,
1995-12-31,,,,,,,7900000.0,0.0,393000000.0,1000000.0,7100000.0,-210700000.0,-15800000.0,,4800000.0,136200000.0,62000000.0,-248500000.0,100000.0,17100000.0,,,,641500000.0,-100000.0,-7000000.0,52900000.0,-13500000.0,,,75000000.0,,-500000.0,39500000,,12400000.0,156900000.0,122200000.0,135000000.0,15100000.0,315400000.0,207700000.0,262100000,24400000,,6900000.0,450400000.0,748100000.0,591200000.0,-193600000.0,6900000.0,78300000.0,6900000,24500000.0,,100400000.0,187500000.0,,297700000.0,,0.0,-1400000.0,,237100000.0,137300000.0,-11700000.0,18200000.0,161700000.0,,,,,,,,,
1996-03-31,110714286.0,800000.0,800000.0,,,,24200000.0,0.0,411200000.0,8700000.0,7000000.0,-25700000.0,-6200000.0,,4600000.0,134400000.0,65900000.0,-256800000.0,0.0,32700000.0,,0.135,,668000000.0,700000.0,8100000.0,126900000.0,-9000000.0,114814815.0,,6300000.0,,600000.0,43600000,,300000.0,156400000.0,125700000.0,140200000.0,14800000.0,311900000.0,223200000.0,271600000,28800000,,15500000.0,452100000.0,767900000.0,611500000.0,7000000.0,15500000.0,81500000.0,15500000,20900000.0,,102300000.0,0.0,,315800000.0,,0.0,-25700000.0,,230400000.0,140500000.0,0.0,18300000.0,169300000.0,0.14,,,,,,,,
1996-06-30,113488372.0,300000.0,300000.0,,,,19100000.0,0.0,542000000.0,6900000.0,7600000.0,-189900000.0,153900000.0,,6000000.0,155800000.0,79300000.0,-256800000.0,100000.0,46000000.0,,0.105,,798800000.0,-400000.0,-3900000.0,148500000.0,8900000.0,116190476.0,,700000.0,,99700000.0,41900000,,8000000.0,178400000.0,135500000.0,156800000.0,16700000.0,369200000.0,235400000.0,287000000,25200000,,12200000.0,526000000.0,955500000.0,777100000.0,-143900000.0,12200000.0,83700000.0,12200000,22300000.0,,109600000.0,-10500000.0,,429500000.0,,0.0,-200400000.0,,285500000.0,152200000.0,-100000.0,20900000.0,177400000.0,0.1075,,,,,,,,
1996-09-30,129142857.0,100000.0,100000.0,,,,17500000.0,0.0,560300000.0,6200000.0,8100000.0,-32000000.0,-12800000.0,,5200000.0,151800000.0,74600000.0,-264100000.0,-200000.0,41100000.0,,0.085,,824400000.0,-200000.0,5400000.0,151200000.0,-1100000.0,132941176.0,,1400000.0,,0.0,42000000,,1800000.0,173400000.0,143400000.0,160700000.0,19200000.0,358500000.0,246700000.0,303500000,22800000,,11300000.0,519200000.0,960100000.0,786700000.0,9100000.0,11300000.0,84100000.0,11300000,15800000.0,,118100000.0,3500000.0,,440900000.0,,0.0,-28500000.0,,274400000.0,162600000.0,-100000.0,21500000.0,185400000.0,0.0875,,,,,,,,
1996-12-31,,300000.0,300000.0,,,,19200000.0,0.0,567600000.0,7500000.0,6900000.0,-26500000.0,-500000.0,,5500000.0,150300000.0,53900000.0,-271900000.0,100000.0,25500000.0,,,,839500000.0,200000.0,6100000.0,57100000.0,-4700000.0,,,76100000.0,,0.0,49800000,,-13100000.0,194000000.0,150300000.0,140100000.0,21200000.0,372700000.0,258400000.0,328100000,28600000,,11700000.0,512800000.0,965800000.0,771800000.0,-1000000.0,11700000.0,97100000.0,11700000,26300000.0,,128000000.0,-100000.0,,453000000.0,,0.0,-24800000.0,,275600000.0,171500000.0,-3900000.0,22000000.0,200100000.0,,,,,,,,,
