,annualFreeCashFlow,quarterlyRetainedEarnings,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,quarterlyFreeCashFlow,annualTotalRevenue,trailingResearchAndDevelopment,annualCostOfRevenue,quarterlyGoodwill,trailingCommonStockIssuance,trailingFreeCashFlow,quarterlyDilutedEPS,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,trailingTaxProvision,quarterlyTotalAssets,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,annualTaxProvision,annualTotalAssets,annualEndCashPosition,trailingPurchaseOfInvestment,annualCurrentDebt,annualLongTermDebt,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,trailingTotalRevenue,annualNetIncome,annualDilutedEPS,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingOperatingIncome,annualPretaxIncome,annualAccountsPayable,trailingInvestingCashFlow,annualDilutedAverageShares,annualBasicAverageShares,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,annualCashAndCashEquivalents,trailingPretaxIncome,quarterlyNetIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInventory,trailingNetOtherInvestingChanges,annualCurrentAssets,annualOperatingCashFlow,annualEbitda,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,annualOtherNonCurrentLiabilities,annualCapitalStock,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyBasicAverageShares,annualBeginningCashPosition,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualOtherNonCashItems,trailingChangeInCashSupplementalAsReported,annualTotalNonCurrentAssets,annualGrossPPE,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyAccountsPayable,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,annualBasicEPS,annualPurchaseOfBusiness,annualCapitalExpenditure,trailingStockBasedCompensation,quarterlyTotalRevenue,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingNetIncome,annualGoodwill,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualChangeInInventory,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,annualResearchAndDevelopment,annualChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingChangeInInventory,quarterlyEbitda,annualGrossProfit,annualInventory,annualAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingCashDividendsPaid,trailingChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,118259000.0,,114025000.0,252882000.0,,,,,,117744000.0,,316431000.0,,44671000.0,,,,,38415000.0,-3001000.0,,,,,,9589000.0,520709000.0,318508000.0,,2000000.0,,22040000.0,,,,99525000.0,0.1185,5976000.0,,,108699000.0,5450000.0,,839889141.0,799348984.0,103270000.0,,-1585000.0,,,-17302000.0,243161000.0,,,53944000.0,,,,17291000.0,333508000.0,,,,,,,,,453700000.0,139701000.0,132261000.0,99525000.0,221833000.0,31049000.0,,333508000.0,7178000.0,32790000.0,,,,,,24666000.0,3564000.0,,,-21558000.0,,,0.0,,181900000.0,,,,,137568000.0,,,,,,,,,6864000.0,,67009000.0,,9009000.0,,154016000.0,,,,,,,,-15000000.0,99110000.0,,0.1245,-10000000.0,-21442000.0,,,-49265000.0,,,,6674000.0,6430000.0,-1223000.0,,6271000.0,,,,,,,,58914000.0,-12839000.0,,,,271760000.0,1726000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,302057000.0,,670833000.0,366264000.0,,,,,,123690000.0,,556614000.0,,95484000.0,,,,,197663000.0,-10160000.0,,,,,,-12658000.0,1499921000.0,888922000.0,,0.0,,29726000.0,,,,164678000.0,0.1725,1044000.0,,,142794000.0,7120000.0,,954713249.0,907336598.0,174508000.0,,1262000.0,,,0.0,1111207000.0,,,70088000.0,,,,23256000.0,1246077000.0,,,,,,,,,1375388000.0,345474000.0,167261000.0,164678000.0,322231000.0,44033000.0,,1246077000.0,14281000.0,45446000.0,,,,,,22450000.0,4641000.0,,,-2000000.0,,,0.0,,597227000.0,,,,,318508000.0,,,,,,,,,2762000.0,,124533000.0,,14307000.0,,337440000.0,,,,,,,,-342155000.0,155452000.0,,0.1815,0.0,-43417000.0,,,-395659000.0,,,,105069000.0,1132000.0,-751000.0,,1211000.0,,,,,,,,68450000.0,86950000.0,,,,461130000.0,2019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,,,,,,,,,,,,,,,,,0.0455,,,63291000.0,,,,50823000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,147048000.0,,,,,49975000.0,,,,50823000.0,,,,24721000.0,,,,,,,,,,,,,,,,106730000.0,54333000.0,,,,,,,,,,,,,,1065047552.0,,0.0476,,,,,,,,,,,,,,,,,30301000.0,,,,,,,40318000.0,,,,,171769000.0,,,,,,,,,,,4358000.0,,,,,,,,1110040668.0,,40318000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,62599000.0,,0.0,410858000.0,,,,,,306913000.0,,820944000.0,,110935000.0,,,,,502170000.0,-41920000.0,,,,,,59885000.0,1739223000.0,616955000.0,,,,31179000.0,,-95997000.0,,307501000.0,0.2774,112072000.0,,,363920000.0,7649000.0,,1108395715.0,1062346787.0,242337000.0,,2338000.0,,,,1315517000.0,,,84819000.0,,,,28214000.0,1007115000.0,,,,,,,,,1269537000.0,381472000.0,392134000.0,307501000.0,371816000.0,39042000.0,,1007115000.0,39071000.0,345626000.0,,,,,,12848000.0,4362000.0,,,0.0,,,0.0,,-236134000.0,,,,,888922000.0,,,,,,,,,-54000.0,,469686000.0,415113000.0,7863000.0,,403096000.0,,,,,,,,-141812000.0,304035000.0,,0.2895,-20520000.0,-318873000.0,,,-520533000.0,,,2377000.0,50019000.0,2918000.0,-2282000.0,,0.0,,,,,,,,124926000.0,7290000.0,,,,710009000.0,4686000.0,-69487000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,559907000.0,,,,1186556000.0,344970000.0,,42675000.0,,,,,,2377000.0,,,0.0835,,,53887000.0,,1802999000.0,,96551000.0,,,,,,,,616443000.0,,,,,,0.0,,,,,,,,,,387645000.0,,,,210169000.0,,,,2641000.0,97201000.0,,,,96551000.0,,,102801000.0,29812000.0,5607000.0,,,,,,,,35178000.0,,,,4405000.0,,,110735000.0,111774000.0,,,,,,8506000.0,,,,,1401680000.0,,,1060421431.0,,0.0907,364000.0,,,1004755000.0,,,1004755000.0,,,,,,,,,34169000.0,44776000.0,,,,6494000.0,,,99434000.0,,,,,239981000.0,,,,,,,,,,,14573000.0,413916000.0,,,0.0,,,,1124732215.0,,99434000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,344845000.0,,,436560000.0,,,,,,404027000.0,,1022412000.0,,128467000.0,,,,,723335000.0,-46650000.0,,,,,,59459000.0,2040870000.0,405595000.0,,,,42144000.0,,,,387224000.0,0.3368,0.0,,,448313000.0,12597000.0,,1149730451.0,1064275119.0,314576000.0,,2649000.0,,108807000.0,,1588692000.0,,,120378000.0,,,,52042000.0,1268098000.0,,,,,,,,,1457057000.0,446874000.0,500355000.0,387224000.0,377763000.0,58797000.0,,1268098000.0,48489000.0,407980000.0,,,,,,0.0,4434000.0,,,,,,0.0,,-210258000.0,,,,,616955000.0,,,,,,,,,13659000.0,,583813000.0,407980000.0,16653000.0,,489918000.0,,,,,,,,-513065000.0,388854000.0,,0.3638,-200000.0,-102029000.0,,,-503721000.0,,,2377000.0,41134000.0,-153411000.0,-698000.0,,0.0,,,,,,,,199611000.0,-28953000.0,,,,893945000.0,5384000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,879992000.0,,,,1571966000.0,439403000.0,,47986000.0,,,,,,0.0,,,0.0579,,,60771000.0,,2154605000.0,,66916000.0,,,,,,,,582639000.0,,,,,,0.0,,,,,,,,,,487389000.0,,,,214880000.0,,,,3925000.0,67804000.0,,,,66916000.0,,,110403000.0,31434000.0,6382000.0,,,,,,,,58728000.0,,,,4500000.0,,,142906000.0,81298000.0,,,,,,11596000.0,,,,,1649459000.0,,,1082521512.0,,0.0614,0.0,,,1377039000.0,104688000.0,,1377039000.0,,,,,,,,,36390000.0,57369000.0,,,,15416000.0,,,71974000.0,,,,,246314000.0,,,,,,,,,,,13494000.0,401381000.0,,,0.0,,,,1157785931.0,,71974000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,326706000.0,,,510752000.0,,,,,,280200000.0,,971397000.0,,130998000.0,,,,,883575000.0,-19865000.0,,,,,,65155000.0,2444813000.0,1186711000.0,,102108000.0,,29139000.0,,-143153000.0,,372480000.0,0.3213,0.0,,,439688000.0,15571000.0,,1159226096.0,1090540697.0,240359000.0,,3542000.0,,393057000.0,,1909878000.0,,,98939000.0,,,,66045000.0,1656157000.0,,,,,,,,,1845282000.0,407416000.0,506454000.0,372480000.0,446475000.0,64277000.0,,1656157000.0,69045000.0,392767000.0,,,,,,0.0,4527000.0,,,,,,0.0,,782105000.0,,,,,405595000.0,,,,,,,,,38181000.0,,599531000.0,545148000.0,35138000.0,,560199000.0,,,,,,,,,374533000.0,,0.3416,0.0,-80710000.0,,,374225000.0,,,11710000.0,36639000.0,42230000.0,2528000.0,,721000.0,,,,,,,,271046000.0,-12995000.0,,,,840399000.0,2856000.0,-152381000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,1054384000.0,,,,2049628000.0,697971000.0,,45061000.0,,,,,,14559000.0,,,0.0893,,,57264000.0,,2680045000.0,,103915000.0,,,,,,,,630417000.0,,,,,,0.0,,,,,,,,,,743032000.0,,,,228359000.0,,,,57434000.0,105895000.0,,,,103915000.0,,,249013000.0,34608000.0,2850000.0,,,,,,,,72819000.0,,,,4581000.0,,,118980000.0,121229000.0,,,,,,24455000.0,,,,,1899247000.0,,,1115111918.0,,0.0927,85000000.0,806000.0,,1649601000.0,355592000.0,,1649601000.0,,,,,,,,,20606000.0,61447000.0,,,,14229000.0,,,109379000.0,,,,,262967000.0,,,,,,,,,,,15334000.0,382765000.0,,,0.0,,,,1160820416.0,,122035000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
