date,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,quarterlyGoodwill,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingSaleOfInvestment,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,trailingPurchaseOfInvestment,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyInventory,annualTaxProvision,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualSaleOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,trailingNetOtherInvestingChanges,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,annualGrossPPE,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,trailingGrossProfit,quarterlySaleOfInvestment,quarterlyCapitalStock,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,annualBasicEPS,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualDilutedAverageShares,trailingTaxProvision,quarterlyNetPPE,annualStockBasedCompensation,quarterlyTaxProvision,annualNetOtherFinancingCharges,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingChangeInInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,annualInventory,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyCurrentAssets,annualOperatingExpense,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,trailingOperatingExpense,annualDilutedEPS,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyPretaxIncome,trailingBeginningCashPosition,trailingPurchaseOfBusiness,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingOtherNonCashItems,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
,,,213600000.0,,,,,97200000.0,,-100000.0,,,36900000.0,,,,,34900000.0,22100000.0,,,213600000.0,108900000.0,0.0,,,,7000000.0,0.0,,,,,,,36900000.0,,,29700000.0,36700000.0,41800000.0,0.0,133900000.0,,,,,17900000.0,12800000.0,,,30100000.0,3900000.0,,37900000.0,,,5000000.0,,,,,,,,,,,30100000.0,,,26000000.0,,,,,79700000.0,26000000.0,82900000.0,0.0,41800000.0,,46800000.0,,104700000.0,,,,,34000000.0,,110500000.0,110800000.0,22100000.0,,,-100000.0,0.0,,,,3500000.0,,,,1500000.0,,,,108900000.0,,,59300000.0,30100000.0,133900000.0,30100000.0,,,,0.2,,,29700000.0,110500000.0,,82900000.0,,,,,,,,,-141700000.0,17900000.0,-27900000.0,,,,,22100000.0,,137500000.0,243600000.0,3900000.0,,,-27900000.0,104700000.0,69400000.0,97200000.0,5000000.0,37900000.0,,79700000.0,110800000.0,,,,,,106100000.0,,,,,,-141700000.0,65200000.0,34000000.0,,,,0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,127148000.0,,,,,,,5900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127148000.0,,,,,,,,,,,,,,,,,65900000.0,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,65900000.0,65900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,127268000.0,,,,,,,6300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127268000.0,,,,,,,,,,,,,,,,,70300000.0,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,70300000.0,70300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,100000.0,,,46900000.0,,,,39600000.0,,,,124000000.0,245100000.0,131000000.0,,,,,6200000.0,,6200000.0,,,,,17600000.0,,,,,,52400000.0,,,,,600000.0,,22200000.0,,,,,5300000.0,,,,900000.0,5400000.0,,,,,,20600000.0,6200000.0,,,,,,,,,,,0.05,92500000.0,28500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,30600000.0,,,,,,,,,,4600000.0,152600000.0,4600000.0,,124000000.0,,,,9200000.0,58000000.0,,,102500000.0,,3500000.0,,,,,,,13000000.0,,-32200000.0,,,,,,,,,,0.05,,,114100000.0,,115600000.0,,40100000.0,,,134700000.0,,,,,,,,,,,,10000000.0,70200000.0,25600000.0,,,,,,,,9700000.0,,,,,,,,,,,,,,,,,,
,,,254200000.0,,,-6500000.0,,120500000.0,1800000.0,0.0,-33300000.0,,43600000.0,4600000.0,,,43400000.0,41600000.0,26600000.0,-3300000.0,,254200000.0,138800000.0,1600000.0,,3400000.0,,8100000.0,-45100000.0,8100000.0,10500000.0,,6100000.0,,18800000.0,43600000.0,,12300000.0,57400000.0,42900000.0,50000000.0,0.0,157400000.0,,0.0,500000.0,-10200000.0,19800000.0,15000000.0,,-3300000.0,6400000.0,6500000.0,,46800000.0,,800000.0,6400000.0,,,,-3200000.0,,22200000.0,8100000.0,,,,6400000.0,,,27500000.0,200000.0,35000000.0,,,96800000.0,27500000.0,111300000.0,43100000.0,50000000.0,,55200000.0,,115400000.0,,,-700000.0,,29800000.0,,126666667.0,145000000.0,26600000.0,,1700000.0,0.0,4700000.0,,400000.0,,3500000.0,,34700000.0,,2100000.0,,6000000.0,,138800000.0,,-41500000.0,69800000.0,6400000.0,157400000.0,6400000.0,,,0.0,0.21,,10500000.0,57400000.0,126666667.0,,111300000.0,,4200000.0,100000.0,,3800000.0,-4800000.0,,,15900000.0,19800000.0,-33700000.0,-12800000.0,,,,26600000.0,,159500000.0,284500000.0,6500000.0,,,-33700000.0,115400000.0,82100000.0,120500000.0,6400000.0,46800000.0,,96800000.0,145000000.0,,17400000.0,1300000.0,,-5300000.0,125000000.0,-4300000.0,1700000.0,0.0,,,12500000.0,78100000.0,29800000.0,,3000000.0,,0.21,1100000.0,,,12300000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-1500000.0,100000.0,,,47800000.0,-100000.0,,,42000000.0,,,,118333333.0,265000000.0,149800000.0,,,3400000.0,,7100000.0,,7100000.0,,,,,19600000.0,,,,,,54400000.0,,,,0.0,500000.0,-18000000.0,19800000.0,,,-7900000.0,,5500000.0,,,,700000.0,6500000.0,,,,0.0,,23000000.0,7100000.0,,,,,,,,,,,0.06,100400000.0,28500000.0,,,,,,,,,,-2700000.0,,,,,,,,,,,,-600000.0,,,,34400000.0,,,,5900000.0,,,,,,5000000.0,164600000.0,5000000.0,,118333333.0,6400000.0,,,14100000.0,59700000.0,,,121300000.0,,4100000.0,,,,,,,14800000.0,,-35800000.0,-13300000.0,,,,,,,,,0.06,,,115200000.0,,127600000.0,,46000000.0,,,157100000.0,,13200000.0,,,3400000.0,,,1400000.0,100000.0,,,11400000.0,76400000.0,26400000.0,,400000.0,,,100000.0,,,11200000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-1700000.0,100000.0,,,59300000.0,-9600000.0,,,44900000.0,,,,126666667.0,288300000.0,172900000.0,,,3400000.0,,7600000.0,,7600000.0,,,,,20000000.0,,,,,,66000000.0,,,,0.0,500000.0,-23300000.0,20500000.0,,,-200000.0,,10000000.0,,,,700000.0,6600000.0,,,,0.0,,23400000.0,7600000.0,,,,,,,,,,,0.06,115900000.0,39900000.0,,,,,,,,,,-13300000.0,,,,,,,,,,,,-3400000.0,,,,35700000.0,,,,5400000.0,,,,,,3200000.0,172400000.0,3200000.0,,126666667.0,0.0,,,13100000.0,58000000.0,,,133000000.0,,4400000.0,,,,,,,15700000.0,,-38700000.0,-15200000.0,,,,,,,,,0.06,,,115400000.0,,135300000.0,,49900000.0,,,171700000.0,,5600000.0,,,16000000.0,,,1700000.0,100000.0,,,12300000.0,80600000.0,26800000.0,,-8600000.0,,,1100000.0,,,12000000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,3200000.0,0.0,,,59400000.0,-100000.0,,,43600000.0,,,,123333333.0,297200000.0,184100000.0,,,4500000.0,,7400000.0,,7400000.0,,,,,20300000.0,,,,,,66500000.0,,,,0.0,300000.0,-11400000.0,22200000.0,,,-500000.0,,8200000.0,,,,700000.0,7100000.0,,,,100000.0,,24900000.0,7400000.0,,,,,,,,,,,0.06,117600000.0,38100000.0,,,,,,,,,,-2000000.0,,,,,,,,,,,,-900000.0,,,,36900000.0,,,,7200000.0,,,,,,6400000.0,179600000.0,6400000.0,,123333333.0,0.0,,,11600000.0,50800000.0,,,146000000.0,,4200000.0,,,,,,,16600000.0,,-42000000.0,-16100000.0,,,,,,,,,0.06,,,113100000.0,,142200000.0,,51100000.0,,,188000000.0,,16000000.0,,,-1600000.0,,,1600000.0,0.0,,,12000000.0,80500000.0,31300000.0,,1800000.0,,,0.0,,,11600000.0,,,,,,,,,,,,,,,,,,
,,,305800000.0,,,-14600000.0,,148100000.0,-900000.0,0.0,-12100000.0,,58900000.0,-2300000.0,,,46600000.0,48700000.0,31400000.0,-4100000.0,,305800000.0,188300000.0,-12100000.0,,5100000.0,,9200000.0,-59200000.0,9200000.0,11300000.0,,6300000.0,,18900000.0,58900000.0,,16400000.0,53500000.0,50100000.0,66800000.0,0.0,185600000.0,,0.0,200000.0,-6500000.0,23200000.0,17300000.0,,-3500000.0,5500000.0,10100000.0,,53400000.0,,700000.0,7900000.0,,,,100000.0,,24000000.0,9200000.0,,,,5500000.0,,,35700000.0,200000.0,23200000.0,,,120200000.0,35700000.0,152600000.0,43900000.0,66800000.0,,66500000.0,,117500000.0,,,3400000.0,,32000000.0,,130833333.0,197300000.0,31400000.0,,-900000.0,0.0,6400000.0,,-4900000.0,,2800000.0,,38500000.0,,1500000.0,,4700000.0,,188300000.0,,-56000000.0,78900000.0,5500000.0,185600000.0,5500000.0,,,0.0,0.24,,11300000.0,53500000.0,130833333.0,,152600000.0,,4600000.0,200000.0,,14300000.0,-9800000.0,,,19600000.0,23200000.0,-44700000.0,-11400000.0,,,,31400000.0,,177100000.0,322500000.0,10100000.0,,,-44700000.0,117500000.0,95300000.0,148100000.0,7900000.0,53400000.0,,120200000.0,197300000.0,,9100000.0,3000000.0,,-3500000.0,145400000.0,-15000000.0,1600000.0,0.0,,,14500000.0,85100000.0,32000000.0,,-8600000.0,,0.24,1800000.0,,,13800000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,2400000.0,0.0,,,58500000.0,1700000.0,,,48300000.0,,,,128000000.0,312400000.0,191000000.0,,,4000000.0,,6400000.0,,6400000.0,,,,,22700000.0,,,,,,65600000.0,,,,0.0,200000.0,-4600000.0,26500000.0,,,-3300000.0,,7500000.0,,,,1200000.0,7100000.0,,,,100000.0,,26700000.0,6400000.0,,,,,,,,,,,0.05,117500000.0,34200000.0,,,,,,,,,,-100000.0,,,,,,,,,,,,-5100000.0,,,,38000000.0,,,,7000000.0,,,,,,8000000.0,194900000.0,8000000.0,,128000000.0,5500000.0,,,14200000.0,51500000.0,,,156800000.0,,3800000.0,,,,,,,15300000.0,,-46900000.0,-8200000.0,,,,,,,,,0.05,,,121400000.0,,157300000.0,,51900000.0,,,203700000.0,,9900000.0,,,-2800000.0,,,4400000.0,100000.0,,,11300000.0,86300000.0,30200000.0,,-2900000.0,,,-2600000.0,,,10200000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,3200000.0,0.0,,,58800000.0,5100000.0,,,58400000.0,,,,138571429.0,339500000.0,202600000.0,,,5200000.0,,9700000.0,,9700000.0,,,,,23300000.0,,,,,,66200000.0,,,,0.0,100000.0,-4400000.0,24500000.0,,,-1000000.0,,13800000.0,,,,1400000.0,7400000.0,,,,100000.0,,28500000.0,9700000.0,,,,,,,,,,,0.07,128800000.0,33900000.0,,,,,,,,,,100000.0,,,,,,,,,,,,100000.0,,,,45500000.0,,,,3100000.0,,,,,,12700000.0,210700000.0,12700000.0,,138571429.0,0.0,,,15700000.0,56400000.0,,,168700000.0,,5900000.0,,,,,,,22200000.0,,-63200000.0,-6600000.0,,,,,,,,,0.07,,,136900000.0,,172800000.0,,62600000.0,,,231900000.0,,11700000.0,,,-4100000.0,,,1700000.0,100000.0,,,17000000.0,103900000.0,33100000.0,,-6500000.0,,,700000.0,,,15600000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-8500000.0,0.0,,,68400000.0,13300000.0,,,54800000.0,,,,132857143.0,349400000.0,209100000.0,,,4800000.0,,9300000.0,,9300000.0,,,,,23800000.0,,,,,,80500000.0,,,,0.0,100000.0,-28300000.0,27000000.0,,,-18100000.0,,3800000.0,,,,1500000.0,12100000.0,,,,600000.0,,28600000.0,9300000.0,,,,,,,,,,,0.07,128900000.0,39100000.0,,,,,,,,,,-8600000.0,,,,,,,,,,,,-1700000.0,,,,44600000.0,,,,4500000.0,,,,,,4200000.0,220500000.0,4200000.0,,132857143.0,0.0,,,13400000.0,70100000.0,,,170000000.0,,5400000.0,,,,,,,20800000.0,,-66100000.0,-6100000.0,,,,,,,,,0.07,,,140300000.0,,182100000.0,,48400000.0,,,236100000.0,,19400000.0,,,300000.0,,,1400000.0,100000.0,,,16000000.0,99400000.0,31200000.0,,3300000.0,,,400000.0,,,14700000.0,,,,,,,,,,,,,,,,,,
,,,361300000.0,,,-20500000.0,,187700000.0,4500000.0,0.0,-18200000.0,,67800000.0,11500000.0,,,57000000.0,58200000.0,39200000.0,-5100000.0,,361300000.0,222600000.0,31600000.0,,5400000.0,,10900000.0,-52200000.0,10900000.0,14000000.0,,9400000.0,,23700000.0,67800000.0,,19400000.0,64000000.0,63200000.0,83500000.0,0.0,225900000.0,,0.0,200000.0,-14900000.0,25200000.0,21700000.0,,4200000.0,8800000.0,6900000.0,,51900000.0,,1200000.0,15700000.0,,,,-100000.0,,29100000.0,10900000.0,,,,8800000.0,,,49600000.0,300000.0,16100000.0,,,135400000.0,49600000.0,173000000.0,63200000.0,83500000.0,,82600000.0,,138700000.0,,,-11900000.0,,31000000.0,,140000000.0,240500000.0,39200000.0,,1600000.0,0.0,7100000.0,,1200000.0,,5600000.0,,47100000.0,,600000.0,,1500000.0,,222600000.0,,-31600000.0,95100000.0,8800000.0,225900000.0,8800000.0,,,0.0,0.28,,14000000.0,64000000.0,140000000.0,,173000000.0,,6100000.0,700000.0,,-9300000.0,-5500000.0,,,23400000.0,25200000.0,-67500000.0,-10700000.0,,,,36500000.0,,223900000.0,401600000.0,6900000.0,,,-67500000.0,138700000.0,114500000.0,187700000.0,15700000.0,51900000.0,,135400000.0,240500000.0,,22200000.0,-100000.0,,-2700000.0,177700000.0,-3300000.0,1900000.0,0.0,,,18000000.0,104100000.0,31000000.0,,2800000.0,,0.28,1400000.0,,,17000000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,12800000.0,0.0,,,79900000.0,15300000.0,,,56700000.0,,,,137142857.0,385200000.0,225100000.0,,,5200000.0,,9600000.0,,9600000.0,,,,,26200000.0,,,,,,95600000.0,,,,0.0,200000.0,-20500000.0,23700000.0,,,-13100000.0,,7400000.0,,,,1400000.0,15700000.0,,,,300000.0,,31400000.0,9600000.0,,,,,,,,,,,0.07,149800000.0,52200000.0,,,,,,,,,,-5100000.0,,,,,,,,,,,,1000000.0,,,,48000000.0,,,,2800000.0,,,,,,21500000.0,235400000.0,21500000.0,,137142857.0,8800000.0,,,17500000.0,74800000.0,,,172900000.0,,5800000.0,,,,,,,21800000.0,,-72000000.0,-5100000.0,,,,,,,,,0.07,,,160100000.0,,197000000.0,,54200000.0,,,244900000.0,,20400000.0,,,12800000.0,,,1900000.0,,,,16600000.0,104700000.0,29300000.0,,2900000.0,,,300000.0,,,15400000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-12900000.0,0.0,,,77900000.0,11000000.0,,,60400000.0,,,,128888889.0,401900000.0,228800000.0,,,5400000.0,,11600000.0,,11600000.0,,,,,25100000.0,,,,,,95000000.0,,,,0.0,300000.0,-30400000.0,21600000.0,,,-28000000.0,,8400000.0,,,,1800000.0,17100000.0,,,,-100000.0,,30500000.0,11600000.0,,,,,,,,,,,0.09,155600000.0,52500000.0,,,,,,,,,,-2900000.0,,,,,,,,,,,,-700000.0,,,,50600000.0,,,,8600000.0,,,,,,8600000.0,246300000.0,8600000.0,,128888889.0,0.0,,,20000000.0,97300000.0,,,176300000.0,,7100000.0,,,,,,,25500000.0,,-77600000.0,-8100000.0,,,,,,,,,0.09,,,173100000.0,,208300000.0,,60600000.0,,,253900000.0,,19100000.0,,,-1500000.0,,,1900000.0,,,,20100000.0,111000000.0,32200000.0,,-3200000.0,,,3100000.0,,,18700000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,100000.0,-100000.0,,,98400000.0,13000000.0,,,61200000.0,,,,137500000.0,439000000.0,262200000.0,,,5400000.0,,11000000.0,,11000000.0,,,,,27200000.0,,,,,,116200000.0,,,,0.0,400000.0,-38100000.0,23200000.0,,,-29600000.0,,8400000.0,,,,1900000.0,17900000.0,,,,500000.0,,32600000.0,11000000.0,,,,,,,,,,,0.08,180200000.0,83800000.0,,,,,,,,,,-31900000.0,,,,,,,,,,,,-1900000.0,,,,51600000.0,,,,29600000.0,,,,,,8800000.0,258800000.0,8800000.0,,137500000.0,0.0,,,17800000.0,99000000.0,,,178400000.0,,6500000.0,,,,,,,24400000.0,,-80900000.0,-6200000.0,,,,,,,,,0.08,,,176800000.0,,219300000.0,,64000000.0,,,259300000.0,,19200000.0,,,19000000.0,,,2600000.0,500000.0,,,19000000.0,112800000.0,37800000.0,,-100000.0,,,-200000.0,,,17500000.0,,,,,,,,,,,,,,,,,,
,,,454200000.0,,,-47800000.0,,225700000.0,5400000.0,0.0,-47300000.0,,103600000.0,12600000.0,,,68300000.0,71300000.0,44900000.0,-6500000.0,,454200000.0,267100000.0,51900000.0,,7100000.0,,12700000.0,-103800000.0,12700000.0,20600000.0,,9100000.0,,27700000.0,103600000.0,,23100000.0,103300000.0,77000000.0,124100000.0,0.0,264900000.0,,0.0,500000.0,-14800000.0,21500000.0,26400000.0,,23400000.0,14200000.0,4500000.0,,65200000.0,,2000000.0,20500000.0,,,,0.0,,34800000.0,12700000.0,,,,14200000.0,,,86300000.0,700000.0,20700000.0,,,189300000.0,86300000.0,180800000.0,81600000.0,124100000.0,,100100000.0,,187100000.0,,,-7900000.0,,40100000.0,,132058824.0,263000000.0,44900000.0,,5400000.0,0.0,8800000.0,,-5600000.0,,7000000.0,,56000000.0,,1400000.0,,-20300000.0,,267100000.0,,-29700000.0,106100000.0,14200000.0,264900000.0,14200000.0,,,0.0,0.34,,20600000.0,103300000.0,136060606.0,,180800000.0,,6900000.0,700000.0,,27600000.0,-7200000.0,,,28300000.0,21500000.0,-82200000.0,-10300000.0,,,,44900000.0,,246500000.0,452700000.0,4500000.0,,,-82200000.0,187100000.0,129200000.0,225700000.0,20500000.0,65200000.0,,189300000.0,263000000.0,,22900000.0,7600000.0,,-2700000.0,206200000.0,-4400000.0,2700000.0,100000.0,,,21200000.0,124300000.0,40100000.0,,-4000000.0,,0.33,4400000.0,,,19600000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-8200000.0,-100000.0,,,96800000.0,1100000.0,,,63400000.0,,,,131250000.0,462500000.0,265900000.0,,,8600000.0,,10500000.0,,10500000.0,,,,,30400000.0,,,,,,110800000.0,,,,0.0,300000.0,-16400000.0,24600000.0,,,-13800000.0,,10600000.0,,,,1800000.0,14100000.0,,,,0.0,,39000000.0,10500000.0,,,,,,,,,,,0.08,186900000.0,83500000.0,,,,,,,,,,-200000.0,,,,,,,,,,,,-6000000.0,,,,58800000.0,,,,5100000.0,,,,,,6000000.0,275600000.0,6000000.0,,131250000.0,14200000.0,,,24200000.0,115000000.0,,,182400000.0,,7800000.0,,,,,,,28400000.0,,-85900000.0,-7500000.0,,,,,,,,,0.08,,,196600000.0,,236300000.0,,76100000.0,,,268300000.0,,8600000.0,,,-300000.0,,,,400000.0,,,19800000.0,122200000.0,41300000.0,,-10800000.0,,,,,,18300000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,3300000.0,-100000.0,,,96000000.0,11800000.0,,,68000000.0,,,,136000000.0,482400000.0,269300000.0,,,8700000.0,,13600000.0,,13600000.0,,,,,29900000.0,,,,,,109600000.0,,,,0.0,500000.0,-15100000.0,25900000.0,,,-11600000.0,,9600000.0,,,,1800000.0,13700000.0,,,,300000.0,,38600000.0,13600000.0,,,,,,,,,,,0.1,193000000.0,84800000.0,,,,,,,,,,-5300000.0,,,,,,,,,,,,-5100000.0,,,,61800000.0,,,,9900000.0,,,,,,9300000.0,289400000.0,9300000.0,,136000000.0,0.0,,,26600000.0,121600000.0,,,184500000.0,,8300000.0,,,,,,,31900000.0,,-90200000.0,-8100000.0,,,,,,,,,0.1,,,213100000.0,,249800000.0,,83400000.0,,,274700000.0,,19900000.0,,,-1600000.0,,,,-200000.0,,,23200000.0,129800000.0,47200000.0,,-2700000.0,,,,,,21900000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,-2700000.0,0.0,,,90200000.0,12900000.0,,,68900000.0,,,,145555556.0,489600000.0,276900000.0,,,8800000.0,,13100000.0,,13100000.0,,,,,29700000.0,,,,,,104900000.0,,,,0.0,500000.0,-22600000.0,27700000.0,,,-18500000.0,,10200000.0,,,,1600000.0,14700000.0,,,,-300000.0,,38400000.0,13100000.0,,,,,,,,,,,0.09,187000000.0,86500000.0,,,,,,,,,,-4600000.0,,,,,,,,,,,,-1800000.0,,,,60500000.0,,,,12400000.0,,,,,,6600000.0,302600000.0,6600000.0,,145555556.0,0.0,,,17400000.0,127500000.0,,,190400000.0,,8000000.0,,,,,,,30900000.0,,-93500000.0,-11900000.0,,,,,,,,,0.09,,,212700000.0,,262900000.0,,82100000.0,,,283900000.0,,24800000.0,,,-4900000.0,,,,700000.0,,,22100000.0,129400000.0,54500000.0,,2700000.0,,,,,,21100000.0,,,,,,,,,,,,,,,,,,
,,,501600000.0,,,-14500000.0,,269900000.0,1900000.0,-100000.0,-58600000.0,,84200000.0,8400000.0,,,78000000.0,85500000.0,52200000.0,-8000000.0,,501600000.0,280100000.0,34200000.0,,9000000.0,,15000000.0,-61900000.0,15000000.0,18800000.0,,-100000.0,,29400000.0,84200000.0,,35100000.0,127700000.0,90500000.0,100400000.0,0.0,309700000.0,,0.0,500000.0,-7800000.0,29100000.0,33300000.0,,-14700000.0,8400000.0,15700000.0,,91500000.0,,1600000.0,16300000.0,,,,-8000000.0,,38400000.0,15000000.0,,,,8400000.0,,,87600000.0,1100000.0,47100000.0,,,191900000.0,87600000.0,192500000.0,71400000.0,100400000.0,,125600000.0,,221500000.0,,,-4400000.0,,57000000.0,,140118000.0,288400000.0,52200000.0,,-5700000.0,-100000.0,14200000.0,,-6900000.0,,6700000.0,,63800000.0,,1700000.0,,19700000.0,,280100000.0,,-37200000.0,119400000.0,8400000.0,309700000.0,8400000.0,,,0.0,0.373333,,18800000.0,127700000.0,140118000.0,,192500000.0,,9200000.0,0.0,,-15200000.0,-19800000.0,,,34400000.0,29100000.0,-95900000.0,-9700000.0,,,,52200000.0,,278200000.0,523200000.0,15700000.0,,,-95900000.0,221500000.0,154500000.0,269900000.0,16300000.0,91500000.0,,191900000.0,288400000.0,,18100000.0,,,-8400000.0,245000000.0,-16500000.0,100000.0,200000.0,,,25400000.0,141800000.0,57000000.0,,-5700000.0,,0.373333,,,,24200000.0,,,,,,,,,,,,,,,,,,
