date,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,annualCapitalStock,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualInventory,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,annualOtherIntangibleAssets,annualEbitda,annualGrossProfit,annualCurrentLiabilities,annualOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,annualDilutedAverageShares,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,annualBasicAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,annualCurrentAssets,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherCurrentAssets,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualSellingGeneralAndAdministration,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,quarterlyChangeInAccountPayable,annualTotalAssets,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyStockholdersEquity,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualOtherCurrentAssets,annualChangeInAccountPayable,annualOperatingIncome,annualCostOfRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualCurrentDebt,annualCommonStockIssuance,annualFreeCashFlow,annualEndCashPosition,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,annualChangeInWorkingCapital,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualAccountsPayable,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalAssets,quarterlyChangeInWorkingCapital,quarterlyNetIncomeCommonStockholders,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,annualPretaxIncome,annualInterestExpense,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyAccountsPayable,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,annualGrossPPE,annualOtherCurrentLiabilities,trailingStockBasedCompensation,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualBasicEPS,annualPurchaseOfInvestment,trailingNetIncome,annualResearchAndDevelopment,trailingBasicAverageShares,trailingDeferredIncomeTax,quarterlyCommonStockIssuance,trailingFreeCashFlow,trailingRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,trailingSellingGeneralAndAdministration,trailingTaxProvision,trailingCapitalExpenditure,trailingTotalRevenue,quarterlyOtherShortTermInvestments,trailingRepaymentOfDebt,trailingCostOfRevenue,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOperatingCashFlow,trailingInterestExpense,trailingNetOtherFinancingCharges,trailingNetIncomeCommonStockholders,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,trailingGrossProfit,trailingCommonStockIssuance,trailingEndCashPosition,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,trailingPretaxIncome,trailingBeginningCashPosition,trailingOperatingIncome,trailingChangeInAccountPayable,trailingOperatingExpense,trailingInvestingCashFlow,trailingChangeInWorkingCapital,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,trailingNetIncomeContinuousOperations,trailingDilutedAverageShares
2009-12-31,-98000000.0,,4914000000.0,,,,,,876000000.0,,,,750000000.0,,,3426000000.0,,,1960000000.0,3472000000.0,,,704000000.0,,189000000.0,,,,,,3107000000.0,,,,,,,,6835000000.0,2213000000.0,959000000.0,,,,0.0,,492000000.0,,-10180000000.0,,679000000.0,,,,4938000000.0,,,,,,,,,10307000000.0,,,,,,548000000.0,,,,,,,1515000000.0,,543000000.0,154000000.0,,,,,,302000000.0,2042000000.0,-507000000.0,3107000000.0,,,,,337000000.0,,,,1872000000.0,3107000000.0,168000000.0,,,,,,,,,,,4941000000.0,,,24000000.0,,,,,-473000000.0,-167000000.0,,,,37000000.0,,,,,270000000.0,248000000.0,,-123000000.0,,,,,,2083000000.0,181000000.0,66000000.0,-53000000.0,,,2371000000.0,-509000000.0,2148000000.0,-409000000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,,,212000000.0,318000000.0,,,0.0,,,3107000000.0,85000000.0,,,,,,,,,,,,,,-168000000.0,,0.0,,,,,52000000.0,0.638304,-93000000.0,,,235000000.0,,,,,,,,,,,,,,,,,,18000000.0,,2848000000.0,,-98000000.0,3296000000.0,,115000000.0,,-33000000.0,,,562000000.0,-29000000.0,,215000000.0,,,198000000.0,,,,,,,,,,,,,,,,0.638304,,99000000.0,336830000.0,,425000000.0,,-49000000.0,,,,-100000000.0,153000000.0,3410000000.0,,350000000.0,,,-37000000.0,215000000.0,,,,,,,,246000000.0,,,,0.0,,,,336830000.0,,,3000000.0,,,,,,,189000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,216000000.0,289000000.0,,,-37000000.0,,,3296000000.0,62000000.0,,,,,,,,,,,,,,19000000.0,,-10000000.0,,,,,-99000000.0,0.635335,-86000000.0,,,233000000.0,,,,,,,,,,,,,,,,,,-191000000.0,,2903000000.0,,-162000000.0,3383000000.0,,50000000.0,,16000000.0,,,543000000.0,-36000000.0,,214000000.0,,,199000000.0,,,,,,,,,,,,,,,,0.635335,,107000000.0,336830000.0,,404000000.0,,16000000.0,,,,100000000.0,294000000.0,3446000000.0,,327000000.0,,,122000000.0,214000000.0,,,,,,,,380000000.0,,,,0.0,,,,336830000.0,,,-10000000.0,,,,,,,87000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,,,228000000.0,205000000.0,,0.0,-55000000.0,,,3383000000.0,62000000.0,,,,,,,,,,,,,,-43000000.0,,-15000000.0,,,,,-70000000.0,0.377045,-102000000.0,,,144000000.0,,,,,,,,,,,,,,,,,,207000000.0,,2807000000.0,,112000000.0,3705000000.0,,80000000.0,,-126000000.0,,,502000000.0,-72000000.0,,127000000.0,,,207000000.0,,,,,,,,,,,,,,,,0.377045,,105000000.0,336830000.0,,316000000.0,,-57000000.0,,,,-200000000.0,127000000.0,3309000000.0,,274000000.0,,,-31000000.0,127000000.0,,,,,,,,229000000.0,,,,200000000.0,,,,336830000.0,,,-6000000.0,,,,,,,322000000.0,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1142000000.0,,5550000000.0,229000000.0,132000000.0,665000000.0,,-7000000.0,988000000.0,5550000000.0,3705000000.0,49000000.0,665000000.0,1395000000.0,2049000000.0,3719000000.0,-219000000.0,3769000000.0,2067000000.0,3416000000.0,3769000000.0,452580000.0,587000000.0,,-130000000.0,8000000.0,2067000000.0,-2000000.0,452580000.0,,3769000000.0,1.394229,-9000000.0,,-219000000.0,403000000.0,-487000000.0,91000000.0,7666000000.0,2307000000.0,3107000000.0,,,555000000.0,200000000.0,,403000000.0,587000000.0,-66000000.0,815000000.0,421000000.0,428000000.0,631000000.0,,5641000000.0,12000000.0,2307000000.0,3210000000.0,1264000000.0,-763000000.0,3219000000.0,258000000.0,109000000.0,11082000000.0,13000000.0,281000000.0,988000000.0,442000000.0,-82000000.0,428000000.0,75000000.0,,,211000000.0,,5641000000.0,1264000000.0,13817000000.0,555000000.0,354000000.0,1164000000.0,11768000000.0,3719000000.0,7666000000.0,,218000000.0,0.0,642000000.0,3219000000.0,,,110000000.0,,175000000.0,250000000.0,,24000000.0,2236000000.0,3769000000.0,46000000.0,-550000000.0,68000000.0,3652000000.0,3416000000.0,213000000.0,,11082000000.0,121000000.0,75000000.0,631000000.0,4983000000.0,4983000000.0,885000000.0,91000000.0,,703000000.0,287000000.0,220000000.0,-14000000.0,-911000000.0,0.0,91000000.0,2554000000.0,-184000000.0,,944000000.0,30000000.0,-1000000.0,281000000.0,220000000.0,2236000000.0,-487000000.0,,243000000.0,-486000000.0,8000000.0,218000000.0,2554000000.0,243000000.0,,-27000000.0,,,-126000000.0,-99000000.0,112000000.0,-500000000.0,1.394229,-750000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,,,223000000.0,409000000.0,655000000.0,,-57000000.0,,1278000000.0,3219000000.0,116000000.0,,,,,,1633000000.0,,,1633000000.0,,,,,-487000000.0,2162000000.0,-4557000000.0,,,,,-2204000000.0,0.863937,-181000000.0,507000000.0,,310000000.0,,,,,,596000000.0,,,,618000000.0,,,,1312000000.0,,,,22000000.0,2794000000.0,3353000000.0,3804000000.0,433000000.0,1633000000.0,,271000000.0,,-100000000.0,267000000.0,1088000000.0,644000000.0,-15000000.0,,291000000.0,,,205000000.0,2479000000.0,1435000000.0,,,,,,,4013000000.0,6133000000.0,,,,,,0.863937,,117000000.0,336830000.0,,532000000.0,,-21000000.0,,,,-5000000.0,-25000000.0,3997000000.0,3591000000.0,421000000.0,,9724000000.0,-244000000.0,291000000.0,,,7817000000.0,,,,,156000000.0,,,,585000000.0,157000000.0,,,336830000.0,,,2000000.0,,,2429000000.0,,,0.0,-1586000000.0,6000000.0,272000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,259000000.0,383000000.0,653000000.0,,-1492000000.0,,,1633000000.0,73000000.0,,,,,,1322000000.0,,,1322000000.0,,,,,-68000000.0,2231000000.0,-14000000.0,,,,,-553000000.0,0.884719,-111000000.0,503000000.0,,316000000.0,,,,,,614000000.0,,,,589000000.0,,,,624000000.0,,,,554000000.0,2865000000.0,3518000000.0,3360000000.0,-122000000.0,1322000000.0,,100000000.0,,-49000000.0,283000000.0,1139000000.0,695000000.0,-19000000.0,,298000000.0,,,240000000.0,2056000000.0,1771000000.0,,,,,,,4025000000.0,5957000000.0,,,,,,0.884719,,116000000.0,336830000.0,,540000000.0,,-12000000.0,,,,0.0,232000000.0,4213000000.0,3670000000.0,436000000.0,,9627000000.0,-67000000.0,298000000.0,,,7385000000.0,,,,,343000000.0,299000000.0,,,-550000000.0,193000000.0,,,336830000.0,,,-9000000.0,,,2560000000.0,,,0.0,-311000000.0,41000000.0,180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,241000000.0,370000000.0,623000000.0,0.0,-54000000.0,,1572000000.0,1322000000.0,87000000.0,,,,,,1252000000.0,,,1252000000.0,,,,,221000000.0,2185000000.0,4542000000.0,,,,,-151000000.0,0.810372,-162000000.0,444000000.0,,285000000.0,,,,,,621000000.0,,,,605000000.0,,,,398000000.0,,,,-539000000.0,2644000000.0,3294000000.0,3339000000.0,-136000000.0,1386000000.0,,-186000000.0,,-7000000.0,259000000.0,1146000000.0,637000000.0,1000000.0,,266000000.0,,,222000000.0,2051000000.0,1502000000.0,,,,,,,3881000000.0,5673000000.0,,,,,,0.810372,,123000000.0,328244510.0,,530000000.0,,-38000000.0,,,,0.0,248000000.0,3931000000.0,3511000000.0,396000000.0,,9184000000.0,5000000.0,266000000.0,,,7220000000.0,,,,,410000000.0,289000000.0,,,553000000.0,-70000000.0,,,328244510.0,,,24000000.0,,,2385000000.0,,,309000000.0,64000000.0,37000000.0,122000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1377000000.0,,3000000.0,257000000.0,344000000.0,596000000.0,0.0,-69000000.0,1054000000.0,3000000.0,1386000000.0,29000000.0,596000000.0,2104000000.0,2655000000.0,3712000000.0,-77000000.0,1363000000.0,2315000000.0,3627000000.0,1363000000.0,421000000.0,575000000.0,-17000000.0,-64000000.0,185000000.0,2315000000.0,-4761000000.0,421000000.0,,1363000000.0,2.72,-286000000.0,,-176000000.0,459000000.0,-807000000.0,312000000.0,5501000000.0,2459000000.0,3219000000.0,1996000000.0,-93000000.0,616000000.0,72000000.0,,459000000.0,575000000.0,24000000.0,901000000.0,475000000.0,339000000.0,1145000000.0,,1688000000.0,528000000.0,2459000000.0,3221000000.0,3245000000.0,-185000000.0,1363000000.0,305000000.0,-87000000.0,9128000000.0,92000000.0,257000000.0,1054000000.0,679000000.0,-44000000.0,339000000.0,290000000.0,,110000000.0,234000000.0,1996000000.0,1688000000.0,3245000000.0,16041000000.0,616000000.0,98000000.0,1675000000.0,13386000000.0,3712000000.0,5501000000.0,,107000000.0,,747000000.0,1363000000.0,,110000000.0,119000000.0,,-137000000.0,502000000.0,,4000000.0,2397000000.0,1363000000.0,565000000.0,,292000000.0,3900000000.0,3627000000.0,422000000.0,,9128000000.0,169000000.0,290000000.0,1145000000.0,6957000000.0,6957000000.0,980000000.0,-183000000.0,,1223000000.0,468000000.0,257000000.0,-36000000.0,-10000000.0,-516000000.0,-183000000.0,3122000000.0,-149000000.0,,1506000000.0,123000000.0,-53000000.0,257000000.0,257000000.0,2397000000.0,-807000000.0,,225000000.0,-23000000.0,39000000.0,107000000.0,3122000000.0,225000000.0,,-4790000000.0,14000000.0,,-3194000000.0,-1672000000.0,-1856000000.0,-630000000.0,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,23000000.0,,249000000.0,436000000.0,580000000.0,,0.0,,3000000.0,1363000000.0,77000000.0,,,,,,1412000000.0,,,1412000000.0,,,,,-395000000.0,2403000000.0,-5000000.0,,,,,-23000000.0,1.04,-260000000.0,480000000.0,,363000000.0,,,,,,600000000.0,,,,465000000.0,,,,327000000.0,,,,33000000.0,2854000000.0,3373000000.0,3155000000.0,-240000000.0,1412000000.0,,201000000.0,,-83000000.0,209000000.0,1137000000.0,719000000.0,-4000000.0,,342000000.0,,,228000000.0,1996000000.0,2162000000.0,,,,,,,3888000000.0,6016000000.0,,,,,,1.04,452000000.0,114000000.0,328240000.0,,585000000.0,4000000.0,8000000.0,,,,-16000000.0,33000000.0,4092000000.0,3672000000.0,470000000.0,,9688000000.0,-203000000.0,342000000.0,,,7043000000.0,,,,,293000000.0,,,,0.0,-55000000.0,,,328470000.0,,,3000000.0,,,2469000000.0,,,184000000.0,49000000.0,35000000.0,89000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,31000000.0,,249000000.0,440000000.0,552000000.0,,-38000000.0,,3000000.0,1412000000.0,98000000.0,,,,,,1523000000.0,,,1523000000.0,,,,,209000000.0,2367000000.0,0.0,,,,,-170000000.0,1.01,-140000000.0,461000000.0,,350000000.0,,,,,,574000000.0,,,,412000000.0,,,,339000000.0,,,,-52000000.0,2635000000.0,3272000000.0,3078000000.0,-126000000.0,1523000000.0,,-122000000.0,,26000000.0,207000000.0,1106000000.0,725000000.0,-7000000.0,,330000000.0,,,230000000.0,1995000000.0,2185000000.0,,,,,,,3696000000.0,5850000000.0,,,,,,1.021681,660000000.0,113000000.0,322997253.0,,586000000.0,8000000.0,12000000.0,,,,,321000000.0,3997000000.0,3587000000.0,476000000.0,,9437000000.0,3000000.0,330000000.0,,,6774000000.0,,,,,461000000.0,,,,,-220000000.0,,,326140000.0,,,4000000.0,,,2356000000.0,,,110000000.0,111000000.0,33000000.0,69000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,,,,235000000.0,338000000.0,548000000.0,0.0,17000000.0,,3000000.0,1523000000.0,52000000.0,,,,,,1634000000.0,,,1634000000.0,,,,,99000000.0,2466000000.0,-34000000.0,,,,,-167000000.0,0.84,-163000000.0,506000000.0,,292000000.0,,,,,,591000000.0,,,,407000000.0,,,,387000000.0,,,,17000000.0,2540000000.0,3058000000.0,3099000000.0,-160000000.0,1634000000.0,,-101000000.0,,-12000000.0,222000000.0,1121000000.0,605000000.0,-5000000.0,,269000000.0,,,215000000.0,1998000000.0,2406000000.0,,,,,,,3670000000.0,5897000000.0,,,,,,0.84,796000000.0,113000000.0,320930000.0,,483000000.0,8000000.0,-16000000.0,,,,,251000000.0,3663000000.0,3742000000.0,370000000.0,,9639000000.0,5000000.0,269000000.0,,,6769000000.0,,,,,414000000.0,,,,,-114000000.0,,,321280000.0,,,11000000.0,,,2244000000.0,,-150000000.0,115000000.0,111000000.0,32000000.0,92000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
