,annualIncomeTaxPayable,trailingSaleOfInvestment,quarterlyBasicAverageShares,trailingOtherNonCashItems,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,trailingInvestingCashFlow,annualDepreciationAndAmortization,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualStockholdersEquity,trailingPurchaseOfBusiness,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,trailingOperatingCashFlow,annualCapitalStock,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualGoodwill,annualSaleOfInvestment,annualOtherIntangibleAssets,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,trailingRepaymentOfDebt,annualAccountsPayable,quarterlyCapitalStock,annualRepaymentOfDebt,annualOperatingCashFlow,annualNetPPE,quarterlyDilutedAverageShares,annualBasicEPS,trailingTotalRevenue,annualNetOtherInvestingChanges,annualOperatingIncome,annualEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualNonCurrentDeferredRevenue,trailingEndCashPosition,trailingPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfInvestment,annualGrossPPE,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,annualPretaxIncome,annualAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,trailingNetIncomeContinuousOperations,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,trailingCapitalExpenditure,trailingDeferredIncomeTax,annualCashAndCashEquivalents,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyGrossPPE,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,annualDilutedEPS,trailingInterestExpense,annualTaxProvision,annualBasicAverageShares,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,trailingChangeInAccountPayable,annualTotalRevenue,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,trailingChangesInAccountReceivables,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,trailingNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,trailingFreeCashFlow,quarterlyGoodwill,trailingCommonStockIssuance,trailingNetIncome,annualDilutedAverageShares,annualNetIncome,trailingTaxProvision,quarterlyAccumulatedDepreciation,trailingDepreciationAndAmortization,quarterlyBasicEPS,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCashDividendsPaid,annualCurrentDebt,annualFreeCashFlow,trailingChangeInInventory,quarterlyDeferredIncomeTax,annualCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,annualGrossProfit,quarterlyCapitalExpenditure,annualInventory,annualOperatingExpense,trailingGrossProfit,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,trailingBasicAverageShares,annualOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyChangeInCashSupplementalAsReported,quarterlyEndCashPosition,annualCostOfRevenue,quarterlyPurchaseOfInvestment,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualEbitda,trailingNetOtherInvestingChanges,annualOtherIncomeExpense,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,trailingOperatingExpense,annualChangeInInventory,annualStockBasedCompensation,annualOtherCurrentAssets,quarterlyCostOfRevenue,trailingDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,trailingDilutedAverageShares,quarterlyPurchaseOfBusiness,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,annualOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetOtherInvestingChanges,quarterlyEbitda
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,1064316872.0,,,,,,,,181296557.0,,,,,,,,,,,,,,,,,,,,,,,,0.207008,,,,,,,1064316872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,181296557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,181296557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725052627.0,,,,,,,,,,,,0.830687,,,872834987.0,,,,,,,725052627.0,,,,,,,,,,,,,,,,,,872834987.0,725052627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,1064316872.0,,,,,,,,204943934.0,,,,,,,,,,,,,,,,,,,,,,,,0.2017,,,,,,,1064316872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,205077535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,,203310750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,,179779963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789579763.0,,,,,,,,,,,,0.776704,,,1016578012.0,,,,,,,789579763.0,,,,,,,,,,,,,,,,,,1016578012.0,789579763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,1064316872.0,,,,,,,,186819182.0,,,,,,,,,,,,,,,,,,,,,,,,0.166169,,,,,,,1064316872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,,195312125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,,,,,,,,,,185956200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,8598782131.0,1996732291.0,,192196238.0,20993137005.0,127183788.0,-999638567.0,6858957800.0,,,,,107159460874.0,-1785389139.0,2805386450.0,1430807681.0,20993137005.0,,-657781324.0,,,,,1955893620.0,,,,,,,,1955893620.0,,-5077082968.0,3458078088.0,2805386450.0,,0.637927,,226612210.0,915052833.0,0.0,107159460874.0,,,,,,,,,10696702227.0,6263464538.0,,,8598782131.0,920869617.0,,,1661782479.0,1955893620.0,,,,,-568469453.0,100277720670.0,684926316.0,,,10696702227.0,,,,,,,,,0.637927,,235943301.0,1073675248.0,673050382.0,1955893620.0,,5174271734.0,,,684926316.0,10026681420.0,0.0,,,,100277720670.0,,1430807681.0,,584223243.0,,,6858957800.0,,,,,1073675248.0,684926316.0,,,,,,-289142638.0,-552594480.0,6263464538.0,2889608635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662601600,,,1136867457.0,,,,,,,,109613682.0,,,,,,,,,,,,,,,,,,,,,,,,0.095231,,,,,,,1136867457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670377600,,,,,,,,,,,109262153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678240000,,,,,,,,,,,137697120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
