date,quarterlyNetIncomeContinuousOperations,annualBasicAverageShares,quarterlyNetIncome,quarterlyOperatingCashFlow,trailingSaleOfInvestment,annualInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,trailingInvestingCashFlow,trailingCashDividendsPaid,quarterlyOtherNonCurrentAssets,annualDilutedEPS,annualNonCurrentDeferredRevenue,annualLongTermDebt,trailingPretaxIncome,annualBasicEPS,trailingNetIncome,annualTotalAssets,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,quarterlyCostOfRevenue,annualCurrentLiabilities,annualDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyInventory,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,annualRetainedEarnings,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,annualInventory,annualOtherShortTermInvestments,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualOperatingIncome,trailingGrossProfit,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCapitalStock,annualTotalRevenue,annualOperatingCashFlow,annualAccountsPayable,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualEndCashPosition,quarterlyDilutedEPS,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyFreeCashFlow,annualCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualPretaxIncome,quarterlySaleOfInvestment,annualCapitalExpenditure,quarterlyGrossPPE,trailingOperatingExpense,annualCurrentAssets,annualSellingGeneralAndAdministration,trailingCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualOtherNonCurrentAssets,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingInterestExpense,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlyOperatingIncome,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyEbitda,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualEbitda,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyChangeInInventory,quarterlyGrossProfit,annualNetOtherFinancingCharges,annualInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingFreeCashFlow,annualCostOfRevenue,quarterlyOperatingExpense,annualOtherCurrentAssets,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,annualChangeInInventory,trailingCostOfRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyTotalRevenue,trailingTaxProvision,quarterlyCapitalExpenditure,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualCurrentDebt,annualCashDividendsPaid,quarterlyBasicAverageShares,annualNetIncome,quarterlyBasicEPS,annualPurchaseOfBusiness,annualBeginningCashPosition,annualFreeCashFlow,annualDilutedAverageShares,trailingPurchaseOfInvestment,annualStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,trailingPurchaseOfBusiness,annualDeferredIncomeTax,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,quarterlyAccumulatedDepreciation,trailingChangeInInventory,quarterlyInvestmentsAndAdvances,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,annualResearchAndDevelopment,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,trailingBasicAverageShares,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,trailingResearchAndDevelopment,trailingOtherNonCashItems,trailingRepurchaseOfCapitalStock
1970-01-01 00:00:01.080691200,97418322.39,,97614829.58,199380122.57,,,,,208405275.65,-20760323.36,52141412.17,,,,0.0,,,,,,,,,,136297151.05,,,8847781.69,20427137.26,,0.0,,,,,,,,,,,,,-2609752.9,,,,,,,,489670831.69,489670831.69,1658610000.0,,500639311.07,,,,0.051601,,,,,1264988.48,515000000.0,93253240.13,,0.0,2066607244.13,69968306.51,329838866.93,,,6210488059.44,5641939629.74,97614829.58,,,,,5290254490.58,,,,,,,,,35648546.65,,,0.0,,190918569.7,596189.42,129200252.57,,,199169441.46,3935475539.66,,,,,-2523304.64,172880983.32,,,479878987.71,-105530693.02,,,43680730.75,,,,-3839311.37,,1176898524.34,-177000000.0,,,29088104.37,785313762.91,30517824.08,5290254490.58,127936146.47,,,889708719.79,568548429.7,,309178134.37,,-106126882.44,,,,,,,0.051601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.088553600,82259605.43,,82080601.83,171660717.1,,,,,208584473.15,-33761724.06,43153014.47,,,,0.0,,,,,,,,,,117319191.29,,,8811694.99,28397267.65,,0.0,,,,,,,,,,,,,-100649224.1,,,,,,,,451117263.65,451117263.65,1658610000.0,,479878987.71,,,,,,,,,1728813.52,575000000.0,18342443.03,,-12152750.5,2141057962.39,75821721.27,326104480.13,,,6267681977.03,5734431457.43,82080601.83,,,,,5386278728.24,,,,,,,,,12006696.39,,,0.0,,181305241.72,493387.92,105734279.87,,,182378172.49,3918039541.49,,,,,-7970130.39,141953336.53,,,446117263.65,-152368631.01,,,36219056.66,,,,1426552.55,,1176898524.34,0.0,,,23491187.24,767877764.74,22568032.27,5386278728.24,104827637.7,,,964159438.05,533250519.6,,259272527.82,,-153318274.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.096502400,101551395.91,,101697253.02,199352461.59,,,,,201324816.67,8382425.61,55128047.67,,,,0.0,,,,,,,,,,119198012.34,,,20951.84,1604057.4,,0.0,,,,,,,,,,,,,-457916.17,,,,,,,,459499689.26,459499689.26,1658610000.0,,446117263.65,,,,0.053759,,,,,937096.07,450000000.0,98226492.37,,-4241874.5,2027756786.19,73348016.66,322069946.77,,,6248818397.37,5745940035.4,101697253.02,,,,,5402426795.04,,,,,,,,,17787668.77,,,0.0,,160974539.05,55420.1,128712878.05,,,202957988.13,4019736794.51,,,,,-987056.28,168632305.27,,,454499689.26,-91270245.31,,,39919427.22,,,,2564342.9,,1176498524.34,-95000000.0,,,25188536.77,869575017.76,27121479.49,5402426795.04,128672875.4,,,851258261.85,502878361.97,,287830317.61,,-101125969.22,,,,,,,0.053759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.104451200,122833657.95,,123010751.75,347151155.55,,-466989113.98,,,201128612.87,223542348.65,21610687.93,,,,0.0,0.213774,,,,0.213774,,6551915208.02,4142747546.26,,153097870.35,1024966527.16,313635597.04,,1483509.86,,0.0,,891135746.01,160377606.66,,,1483509.86,0.0,9221035.67,,,550292848.0,,-19406476.68,1183072521.73,336222311.34,1658610000.0,1256637145.07,917544456.81,232013067.82,5482532891.26,678042037.91,678042037.91,1658610000.0,,454499689.26,678042037.91,,678042037.91,,,5482532891.26,,2009161.6,20544179.88,450000000.0,226887819.47,678042037.91,13824625.0,2208039048.89,94497552.6,336222311.34,201128612.87,,6551915208.02,5839254796.67,123010751.75,,520704910.16,0.0,-480834461.81,5482532891.26,,712660411.35,116866379.94,,,180432072.04,0.0,,94934694.85,,,0.0,,232013067.82,864164.16,186645437.51,404403436.18,21610687.93,274309983.07,4142747546.26,177402726.84,857844677.05,,-727000000.0,120547.54,247258294.92,-2570000.0,23504169.85,678042037.91,-117819544.64,,525912225.03,60612857.41,0.0,730724920.04,5839254796.67,21652951.76,,1183072521.73,-455000000.0,116641928.48,2208039048.89,39098551.56,891135746.01,36434592.64,5482532891.26,159268250.59,-11359943.77,,1024966527.16,712660411.35,,400356165.27,,-120263336.08,21804535.84,404062981.68,450000000.0,-123123369.85,,404403436.18,,,500639311.07,436709995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.112227200,137742218.19,,137785384.47,234012164.09,,,,,201085446.59,112778879.87,53264576.55,,,,0.0,,,,,,,,,,138868389.93,,,,1699666.14,,0.0,,,,,,,,,,,,,-5289787.23,,,,,,,,790820917.78,790820917.78,1658610000.0,,678042037.91,,,,0.072836,,,,,4626842.8,450000000.0,116505722.69,,0.0,2180981586.03,81338228.45,332816883.35,,,6662599963.35,5835011934.05,137785384.47,,,900000.0,,5481751450.28,,,,,,,,,-2317030.31,,,0.0,,205101098.21,662944.41,195697143.19,,,264419460.12,4280532930.73,,,,,-216156.28,254459173.76,,,790820917.78,-115943496.99,,,58762030.57,,,,4649641.8,,1186968770.9,,,,38209254.19,1028921130.48,40712170.68,5481751450.28,178454388.87,,,994012815.13,827588029.3,,393327563.69,,-117506441.4,,,,,,,0.072836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.120089600,121757961.49,,121801372.99,171035588.83,,,,,201042035.09,-198683055.97,54920326.86,,,,0.0,,,,,,,,,,160145588.43,,,,2551987.98,,0.0,,,,,,,,,,,,,-53587635.63,,,,,,,,592137861.81,592137861.81,1658610000.0,,790820917.78,,,,,,,,,-2796074.34,150000000.0,153736755.61,,-300000000.0,2072430860.86,70109673.86,329027838.28,,,6509946199.67,5867251318.2,121801372.99,,,0.0,,5517807523.01,,,,,,,,,-22116333.66,,,0.0,,291229490.22,1167824.05,160055673.46,,,226076394.9,4236473303.72,,,,,-852321.84,216471136.66,,,592137861.81,-16131009.17,,,56415463.2,,,,3100535.1,,1190694016.84,,,,38924059.54,984861503.47,37004833.89,5517807523.01,158762795.38,,,881736844.02,642694881.47,,376616725.09,,-17298833.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.128038400,159046533.07,,159085317.98,199666175.55,,,,,201003250.18,49578324.62,59400150.38,,,,0.0,,,,,,,,,,128363916.41,,,,2569726.83,,0.0,,,,,,,,,,,,,-120111529.02,,,,,,,,641716186.43,641716186.43,1658610000.0,,592137861.81,,,,0.084095,,,,,2581142.56,150000000.0,168901429.32,,0.0,1999413340.47,64924903.0,325247926.75,,,6595975212.35,5913333391.9,159085317.98,,,0.0,,5567669508.24,,,,,,,,,-30233028.77,,,0.0,,368367564.74,788424.32,209437296.69,,,271152549.14,4395558621.7,,,,,-17738.85,249703047.0,,,641716186.43,-29976321.91,,,40265750.31,,,,2734923.26,,1194452265.48,0.0,,,28378501.2,1143946821.45,44599970.51,5567669508.24,203646503.58,,,804961074.99,682641820.45,,378066963.41,,-30764746.23,,,,,,,0.084095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.135987200,239648042.74,,240576279.87,399802609.78,,-822106002.48,,,200075013.05,-60751692.72,21848972.99,,,,400000000.0,0.34849,,,,0.34849,,6970437823.83,4636191707.77,,45468985.63,936186662.32,300038559.61,,2865733.78,,0.0,,1216273353.47,22850158.29,,,2865733.78,0.0,900000.0,,,883429124.25,,639337.04,1197984440.69,322091458.97,1658610000.0,1546979767.26,1004516538.25,263693008.72,5615434770.91,580964493.71,580964493.71,1658610000.0,,641716186.43,580964493.71,,580964493.71,,,5615434770.91,,-397107400.59,2304772.88,350000000.0,139407593.75,580964493.71,0.0,2134171103.01,83665754.3,322091458.97,200075013.05,,6970437823.83,6361258886.21,240576279.87,,860226211.02,0.0,-425965036.88,5615434770.91,,609178937.62,128103791.27,,,190703762.61,400000000.0,,77516551.03,,,0.0,,263693008.72,-399726593.37,318239010.91,659248355.31,21848972.99,405333050.37,4636191707.77,-97077544.2,1172903460.47,,-600000000.0,-296006.95,353499529.44,0.0,12638689.84,580964493.71,-660055174.41,,472846880.4,35260518.53,0.0,1074132886.86,6361258886.21,404532.05,,1197984440.69,-150000000.0,202031455.53,2134171103.01,22591976.34,1216273353.47,79714480.45,5615434770.91,319362523.19,-1382223.92,,936186662.32,609178937.62,,398968515.07,,-260395016.03,10889632.21,658194755.49,350000000.0,-178349614.84,,659248355.31,,,678042037.91,578551501.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.143763200,174660576.66,,174699530.88,188487547.94,,,,,200036058.83,-30621292.29,28135770.1,,,,1350000000.0,,,,,,,,,,122998596.54,,,,2127015.64,,0.0,,,,,,,,,,,,,-13109724.96,,,,,,,,550343201.42,550343201.42,1658610000.0,,580964493.71,,,,0.092349,,,,,13676643.17,1150000000.0,131210510.05,,0.0,2864222744.06,81392093.78,318295283.69,,,7875150041.54,7298184628.36,174699530.88,,,1080000.0,,5606091839.87,,,,,,,,,-80188630.49,,,0.0,,234007917.75,-950000000.0,240467085.98,,,323068070.23,4810891238.65,,,,,738718.14,287678864.55,,,550343201.42,-1005999115.27,,,47211778.57,,,,13690448.02,,1202016799.13,-100000000.0,,,34224535.48,1390972884.35,53338756.62,5606091839.87,227999333.28,,,1662205944.93,576965413.18,,410677461.09,,-57277037.89,,,,,,,0.092349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.151625600,148239268.67,,148281415.16,314629364.91,,,,,52993912.34,-42271020.28,55601876.22,,,,0.0,,,,,,,,,,161298095.62,,,,2376688.28,,0.0,,,,,,,,,,,,,-153676160.03,,,,,,,,508072181.14,508072181.14,1658610000.0,,550343201.42,,,,,,,,,15260460.52,1100000000.0,159962141.68,,0.0,2603916882.23,86815565.38,781009905.41,,,7151672648.38,6633952207.71,148281415.16,,,0.0,,5829082502.07,,,,,,,,,66020705.39,,,0.0,,357140289.64,1605455.75,198419708.86,,,286797328.46,4494761853.81,,,,,-249672.64,256386942.92,,,508072181.14,-153224225.16,,,57967234.06,,,,13694029.34,,477317798.68,-860000000.0,,,45425319.98,1129127026.96,36482033.89,5829082502.07,184721302.56,,,2126599083.55,517720440.67,,417685038.54,,-154667223.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.159574400,201040979.39,,201075900.33,288088951.78,,,,,52958991.4,-117289196.65,55107646.2,,,,0.0,,,,,,,,,,112201401.2,,,,2603989.26,,0.0,,,,,,,,,,,,,-339046272.98,,,,,,,,390782984.49,390782984.49,1658610000.0,,508072181.14,,,,0.121232,,,,,13567007.89,1235000000.0,86419802.26,,0.0,2433748113.0,92310519.24,765632142.81,,,7182544858.54,6774980800.7,201075900.33,,,0.0,,5985376227.5,,,,,,,,,-18854311.71,,,0.0,,398775093.97,337274.07,257491759.71,,,350542847.87,4695837754.14,,,,,-227300.98,293122353.19,,,390782984.49,-201331875.45,,,35630593.48,,,,13626923.24,,481318804.48,-290000000.0,,,23143800.95,1330202927.29,43624341.35,5985376227.5,244665320.74,,,1952429308.52,407564057.84,,405323754.39,,-201669149.52,,,,,,,0.121232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.167523200,237851266.19,,225245609.02,297678898.12,,-1658906386.06,,,65109782.73,9670439.94,22264338.83,,,,0.0,0.451765,,,,0.451765,,7232966765.63,4920872210.33,,55522525.82,1767639038.51,353227650.56,,2873144.16,,0.0,,1469035640.62,-78608495.9,,,2873144.16,0.0,1080000.0,,,1021271866.08,,-15657288.0,479345734.06,751232115.87,1658610000.0,1646590705.75,1088884762.75,297383793.02,6038412912.08,400453424.43,400453424.43,1658610000.0,,390782984.49,400453424.43,,400453424.43,,,6038412912.08,,-947282720.78,15410799.23,1261000000.0,-1768512.52,400453424.43,0.0,2246984772.57,92709472.16,751232115.87,65109782.73,,7232966765.63,6814099549.82,225245609.02,,968979794.36,0.0,-713060821.28,6038412912.08,,418867215.81,122620227.87,,,173298220.49,0.0,,-45586259.09,,,0.0,,297383793.02,774549.4,324893311.53,749302455.39,22264338.83,419714109.17,4920872210.33,-180511069.28,1379051190.89,,-2415000000.0,-269154.9,357381925.91,0.0,56843745.97,400453424.43,-298351170.18,,452020619.18,32488614.38,0.0,1194570086.57,6814099549.82,13135917.57,,479345734.06,-1165000000.0,207187703.45,2246984772.57,19826571.46,1469035640.62,73742571.59,6038412912.08,311593837.78,-7410.38,,1767639038.51,418867215.81,,412904451.73,,-299447410.64,54147318.17,761792090.91,1261000000.0,-521489445.97,,749302455.39,,,580964493.71,375823941.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.175299200,199902110.26,,186198221.8,,,,,,80978203.02,157089693.29,0.0,,,,0.0,,,,,,,,,,120649130.48,,,,2595941.72,442789909.02,,,,,,,,,,,,,,-15746904.79,,,,,,,,557543117.72,557543117.72,1658610000.0,,400453424.43,,,,0.1123,,,,,12920316.45,1261000000.0,162836598.08,,0.0,2245634477.0,,546610280.37,,,7446366277.25,6865384721.33,186198221.8,,,,,5835992875.25,,,,,,,,,,,,188556.2,,268917079.39,0.0,255192002.82,,,255317537.19,5119753597.23,,,,,,301851020.03,,,557543117.72,-119552773.14,,,46659017.21,,,,,,483384271.29,-60000000.0,,,33681158.13,1667917027.52,42495110.48,5835992875.25,242397220.74,,,1762250205.71,580981555.92,,422500150.51,,-119552773.14,,,,,1658042937.0,,0.1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.183161600,135319799.2,,121807721.92,,,,,,94490280.3,-109773411.44,0.0,0.0,,,0.0,,,,,,,,,,110325921.67,,,,2653300.93,,,,,,,,,,,,,,,-208760347.38,,,,,,,,447769706.28,447769706.28,1658610000.0,,557543117.72,,,,,,,,,14051100.95,1276000000.0,91845193.27,,0.0,2528332532.86,,546991185.71,,,7006941723.29,6532049547.86,121807721.92,,,,,5949383341.33,,,,,,,,,,,,185783.36,,321968516.48,2141742.67,270035089.88,,,271594545.93,4384118910.13,,,,,,299951215.07,,,447769706.28,-141458605.17,,,29916125.19,,,,,,464837305.99,-1201000000.0,,,15687963.02,1375072249.44,122223645.78,5949383341.33,257543444.98,,,2063495226.87,474892175.43,,410277136.74,,-143600347.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.191110400,176652341.7,,163617729.07,,,,,,49500000.0,-34744507.25,0.0,,,,0.0,,,,,,,,,,110876135.34,,,,2458255.83,,,1659409017.0,,,,,,,,,,,,-251816945.04,,,,,,,,413025199.03,413025199.03,1658610000.0,,447769706.28,,,,0.0986,,,,,10177717.44,1451000000.0,-8525802.23,,0.0,2518787168.0,,538464266.96,,,7162727514.17,6706219700.77,163617729.07,,,0.0,,6129991266.64,,,,,,,,,,,,249587.25,,353034388.46,50598240.02,261390797.35,,,257078960.25,4536415453.24,,,,,,301144296.93,,,413025199.03,-176461216.28,,,39753499.58,,,,,,507265772.46,-70000000.0,,,26359025.55,1527368792.55,70248901.11,6129991266.64,246901242.81,,,2011521395.54,456507813.4,,412020432.27,,-227059456.3,,,,,1659409017.0,,0.0986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.199059200,92779004.52,1658486346.0,45824067.21,,,-791577796.24,,,48000000.0,-5847262.3,0.0,,,,0.0,0.312,,,,0.312,,7387901510.15,4625384399.1,53211574.82,96978058.13,2172927965.01,,,2983366.13,,,,1881071707.42,,,,2983366.13,,5533313.82,,,1100777267.65,,-8700592.45,370954669.46,552237959.94,1658610000.0,1688879091.29,,393088670.84,6330275903.14,407177936.73,407177936.73,1658610000.0,,413025199.03,407177936.73,,407177936.73,,,6330275903.14,,3563545.58,17955919.02,1390000000.0,118540039.07,407177936.73,0.0,2543882634.47,,552237959.94,48000000.0,,7387901510.15,6962349658.78,45824067.21,,1098613798.19,4633313.82,-800952255.98,6330275903.14,,425551851.37,94581911.71,,,149272578.02,0.0,,,,,0.0,,393088670.84,-48276437.11,314159377.6,517447740.0,0.0,369727808.68,4625384399.1,6724512.3,1153147290.11,,-2617000000.0,,347103313.64,0.0,54533491.92,407177936.73,-354105201.65,,438829245.62,32943936.04,0.0,1250049845.67,6962349658.78,,53211574.82,370954669.46,-1286000000.0,493960542.51,2543882634.47,18853765.01,1881071707.42,258992885.14,6330275903.14,351771889.66,,,2172927965.01,425551851.37,,444081371.77,,-310739678.7,,604653255.68,1390000000.0,-485024789.66,,517447740.0,,,400453424.43,364696028.19,1658486346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.206921600,156302292.31,,144688322.52,,,,,,47500000.0,276182252.3,0.0,,,,0.0,,,,,,,,,,128356124.76,,,,2857067.85,,,1659269754.0,,,12000000.0,,,,,,,,,-21889422.5,,,,,,,,683360189.03,683360189.03,1658610000.0,,407177936.73,,,,0.0872,,,,,16631654.43,1610000000.0,65034826.7,,12000000.0,2809415916.75,,546958230.81,,,7821737084.72,7116572079.13,144688322.52,,,,,6490380836.49,,,,,,,,,,,,0.0,,416652826.75,1036848.1,222591496.12,,,223704187.48,4770072721.6,,,,,,267809282.82,,,683360189.03,-218729517.21,,,45217786.7,,,,,52325654.81,372060472.18,-725000000.0,,,32912530.99,2025760029.92,50770240.74,6490380836.49,207072533.05,,,2437355444.57,705165005.59,,396165407.58,,-219766365.31,,,,,1659269754.0,,0.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.214784000,202626386.45,,189408411.91,,,,,,47000000.0,-191333295.17,0.0,,,,0.0,,,,,,,,,,124807056.64,,,,3157988.61,,,,,,0.0,,,,,,,,,-359435307.24,,,,,,,,492026893.86,492026893.86,1658610000.0,,683360189.03,,,,,,,,,9055580.35,1935000000.0,-159324686.29,,0.0,2997693324.38,,540866222.69,,,7880918878.82,7362767049.95,189408411.91,,,,,6746960923.97,,,,,,,,,,,,0.0,,454529622.66,1240033.81,286530178.23,,,281326738.37,4627759133.53,,,,,,324592176.02,,,492026893.86,-270260890.92,,,38061997.79,,,,,51426379.56,373708877.46,-625000000.0,,,23830102.3,1883446441.85,69644771.57,6746960923.97,272271158.02,,,2623984446.92,518151828.87,,449399232.66,,-272687589.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.222732800,222194123.6,,208841197.45,,,,,,46500000.0,1457715.52,0.0,,,,0.0,,,,,,,,,,132171005.04,,,,2938909.54,,,1657469821.0,,,18000000.0,,,,,,,,,-36532266.47,,,,,,,,493484609.38,493484609.38,1658610000.0,,492026893.86,,,,0.126,,,,,16249797.9,2035000000.0,-9432258.39,,18000000.0,3153201937.17,,5208205800.1,,,8223191615.21,7703682267.42,208841197.45,,,0.0,,2395373569.74,,,,,,,,,,,,0.0,,507067859.76,408240.38,249739904.43,,,309732321.57,4836600330.98,,,,,,295435209.64,,,493484609.38,-358131397.91,,,45695305.21,,,,,50513547.74,375359979.95,-50000000.0,,,31996780.3,2092287639.3,71288400.07,2395373569.74,293482523.67,,,2777841957.22,519509347.79,,427606214.68,,-340983638.29,,,,,1657469821.0,,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.230681600,159065243.94,1658996645.0,148863669.21,,,-1244771820.19,-17556000.0,0.0,46000000.0,37750102.84,15965992.23,0.0,,,0.0,0.417,,0.0,,0.417,,8587027164.19,4998007226.2,49586954.98,113978497.29,3023643579.12,346466294.84,0.0,1857235.08,0.0,0.0,,2150036264.98,-128837104.15,0.0,,1857235.08,0.0,900000.0,30000000.0,0.0,1008297826.47,,-33241214.95,345155419.03,7213265172.47,1658610000.0,1689557091.15,1033543383.51,518120603.28,723077485.85,531234712.22,531234712.22,1658610000.0,,493484609.38,531234712.22,,531234712.22,,,723077485.85,0.0,5089869.02,3639853.13,2225000000.0,-96224450.72,531234712.22,0.0,3368798998.15,,7213265172.47,46000000.0,,8587027164.19,8033563861.24,148863669.21,,987225106.85,0.0,-1233489952.21,723077485.85,,553463302.95,128515400.61,,,181946580.95,0.0,,,,,0.0,,518120603.28,2404746.73,249436247.69,691801601.09,15965992.23,218038745.24,4998007226.2,124056775.49,1384776826.83,,-2250000000.0,,302407738.94,30000000.0,51085425.14,531234712.22,-397650014.15,,499312683.73,52971491.25,0.0,1190244407.42,8033563861.24,,49586954.98,345155419.03,-850000000.0,247037060.55,3368798998.15,39775987.02,2150036264.98,55333648.17,723077485.85,214398892.11,1126131.05,,3023643579.12,553463302.95,,416386236.23,,-400052359.33,60494035.48,740188046.3,2225000000.0,-451098211.16,,691801601.09,,,407177936.73,-199946568.7,1658996645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
