,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,quarterlyEbitda,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,trailingNetOtherFinancingCharges,quarterlyOperatingIncome,trailingEndCashPosition,quarterlyTotalRevenue,quarterlyGrossProfit,annualInvestmentsAndAdvances,annualCurrentDebt,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,trailingCostOfRevenue,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCashDividendsPaid,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyRetainedEarnings,annualAccumulatedDepreciation,annualDilutedEPS,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,annualCashDividendsPaid,quarterlyLongTermDebt,annualBasicAverageShares,quarterlyOperatingExpense,annualBeginningCashPosition,annualAccountsReceivable,quarterlyCurrentDeferredRevenue,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,annualTaxProvision,trailingTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualLongTermDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,annualStockholdersEquity,quarterlyCapitalExpenditure,annualCurrentLiabilities,annualDepreciationAndAmortization,annualSaleOfInvestment,annualStockBasedCompensation,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,quarterlyInventory,annualCapitalStock,quarterlyInvestmentsAndAdvances,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,trailingPretaxIncome,quarterlyBasicAverageShares,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,annualInventory,quarterlyPurchaseOfBusiness,trailingNetIncome,trailingPurchaseOfBusiness,quarterlyPretaxIncome,annualEbitda,annualNetPPE,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,annualNetOtherInvestingChanges,annualGrossPPE,quarterlyChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,annualInterestExpense,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,trailingOperatingIncome,annualTotalRevenue,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualCapitalExpenditure,trailingInvestingCashFlow,annualInvestingCashFlow,annualPretaxIncome,annualBasicEPS,trailingInterestExpense,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,annualEndCashPosition,trailingPurchaseOfInvestment,annualOtherIncomeExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,trailingChangeInCashSupplementalAsReported,trailingTotalRevenue,annualOperatingIncome,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingOtherNonCashItems,trailingChangeInWorkingCapital,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualIncomeTaxPayable,annualChangeInInventory,trailingChangeInInventory,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702000000,,,23400000.0,,,,,-149700000.0,,2972000000.0,2208300000.0,,,,,-11900000.0,,-92300000.0,,,,,8985000000.0,,,604100000.0,,,,10736700000.0,,,,4348500000.0,2997700000.0,,1288900000.0,,,,,,,,,,,,,,,,,1572800000.0,,,763700000.0,,,-34500000.0,,,,,,,2747900000.0,,2358000000.0,,,,,,-92300000.0,-92300000.0,2184900000.0,,,,754300000.0,,,,,,,,51200000.0,,109400000.0,447800000.0,,-628600000.0,,,,,395500000.0,-4280300000.0,109400000.0,,,47100000.0,,308800000.0,,,,338700000.0,436200000.0,,,,,,,,-61500000.0,,,,,-153800000.0,,,6456400000.0,3280400000.0,,,,,,,,7560100000.0,10557800000.0,708200000.0,,,,,,-289900000.0,,,,885200000.0,,,885200000.0,,,,,,,,223500000.0,173100000.0,,,,620300000.0,,,,,,,,,,449000000.0,,,,,,,,,,,,,,,,,,,,,,,
709862400,,,104200000.0,,,,,-73900000.0,,3140400000.0,2319900000.0,,,,,-216200000.0,,-95100000.0,,,,,9345000000.0,,,522400000.0,,,,10911400000.0,,,,4538200000.0,3158400000.0,,1288900000.0,,,,,,,,,,,,,,,,,1479000000.0,,,820500000.0,,,-9700000.0,,,,,,,2894100000.0,,2393800000.0,,,,,,-95100000.0,-95100000.0,2215700000.0,,,,947000000.0,,,,,,,,55600000.0,,-46800000.0,448900000.0,,-686200000.0,,,,,428700000.0,-4385200000.0,-46800000.0,,,3500000.0,,318700000.0,,,,249200000.0,-13800000.0,,,,,,,,-30900000.0,,,,,-126000000.0,,,6526200000.0,3492800000.0,,,,,,,,7665600000.0,10824000000.0,710700000.0,,,,,,-437000000.0,,,,871400000.0,,,871400000.0,,,,,,,,,178100000.0,,,,596500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717811200,,,247000000.0,,,-73900000.0,,68000000.0,,3575400000.0,2672500000.0,,,,,-182300000.0,,21500000.0,,,,,9885400000.0,,,237500000.0,,,,11321200000.0,,,,4727400000.0,3320400000.0,,1288900000.0,,,,,,,,,,,,,,,,,1501900000.0,,,902900000.0,,,-94500000.0,,,,,,,3254000000.0,,2604500000.0,,,,,,21500000.0,21500000.0,2425500000.0,,,,1072200000.0,,,,,,,,59900000.0,,-8200000.0,449300000.0,,-650400000.0,,,,,395100000.0,-4456600000.0,-8200000.0,,,24000000.0,,321800000.0,,,,80000000.0,-110500000.0,,,,,,,,10600000.0,,,,,32100000.0,,,6864600000.0,3675100000.0,,,,,,,,8066900000.0,11387300000.0,807200000.0,,,,,,-570400000.0,,,,760900000.0,,,760900000.0,,,,,,,,,179000000.0,,,,603000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725760000,522000000.0,-417000000.0,-186800000.0,,35000000.0,-147300000.0,,-382200000.0,,3201900000.0,2280900000.0,,620000000.0,,,-127000000.0,,-791100000.0,,,10019400000.0,,11551000000.0,3408100000.0,,244800000.0,141600000.0,,,10600000000.0,,-146300000.0,,4845000000.0,3298000000.0,,332000000.0,-4205000000.0,,,,,,-133200000.0,1657000000.0,289000000.0,,,,3298000000.0,,,,706000000.0,,,921000000.0,-957000000.0,,-9700000.0,11551000000.0,-957000000.0,,-1943300000.0,332000000.0,,3613000000.0,,2663100000.0,449000000.0,,,1386000000.0,,-791100000.0,-251100000.0,2467700000.0,,-239000000.0,,1386000000.0,12257000000.0,9293800000.0,,,8959000000.0,3613000000.0,,68900000.0,1608800000.0,-19400000.0,620000000.0,706000000.0,-553400000.0,4845000000.0,725600000.0,,,1657000000.0,-4205000000.0,-19400000.0,,,42800000.0,,324000000.0,,,575300000.0,-92600000.0,-238900000.0,9481600000.0,,522000000.0,907000000.0,,,,-157200000.0,324000000.0,,,,-408300000.0,187800000.0,6395000000.0,6395000000.0,3579000000.0,,-148400000.0,10600000000.0,,73000000.0,3579000000.0,,8959000000.0,12257000000.0,907000000.0,235600000.0,,,,,-646000000.0,,12889700000.0,,522000000.0,,-237600000.0,522000000.0,646000000.0,-2518600000.0,,-537400000.0,-656000000.0,,,,195400000.0,,35000000.0,,646000000.0,,,117400000.0,,,,,-537800000.0,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,72000000.0,,,-32000000.0,,-121000000.0,,3332000000.0,2458000000.0,,,,,-331000000.0,,-157000000.0,,,,,12151000000.0,,,585000000.0,,,,12085000000.0,,,,5666000000.0,3961000000.0,,332000000.0,,,,,,,,,,,,,,,,,1137000000.0,,,874000000.0,,,-43000000.0,,,,,,,3306000000.0,,2579000000.0,,,,,,-157000000.0,-138000000.0,2386000000.0,,,,1412000000.0,,,,,,,,75000000.0,,585000000.0,1140000000.0,,-489000000.0,,,,,1004000000.0,-4649000000.0,585000000.0,,,-8000000.0,,319000000.0,,,,254000000.0,508000000.0,,,,,,,,-66000000.0,,,,,-204000000.0,,,7436000000.0,3899000000.0,,,,,,,,9327000000.0,13288000000.0,887000000.0,,,,,,-235000000.0,,,,1030000000.0,,,1030000000.0,,,,,,,,,193000000.0,,,,627000000.0,,,,,,,,,,522000000.0,,,,,,,,,,,,,,,,,,,,,,,
741398400,,,275000000.0,,,-194000000.0,,84000000.0,,3548000000.0,2665000000.0,,,,,-175000000.0,,22000000.0,,,,,11959000000.0,,,600000000.0,,,,12135000000.0,,,,5310000000.0,3755000000.0,,332000000.0,,,,,,,,,,,,,,,,,1157000000.0,,,883000000.0,,,-11000000.0,,,,,,,3478000000.0,,2581000000.0,,,,,,22000000.0,22000000.0,2390000000.0,,,,1524000000.0,,,,,,,,82000000.0,,-582000000.0,477000000.0,,-371000000.0,,,,,1125000000.0,-4773000000.0,-582000000.0,,,28000000.0,,302000000.0,,,,432000000.0,-325000000.0,,,,,,,,8000000.0,,,,,30000000.0,,,7362000000.0,4176000000.0,,,,,,,,9361000000.0,13116000000.0,874000000.0,,,,,,61000000.0,,,,705000000.0,,,705000000.0,,,,,,,,,191000000.0,,,,657000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,,471000000.0,,,-47000000.0,,281000000.0,,3990000000.0,3087000000.0,,,,,-85000000.0,,149000000.0,,,,,11614000000.0,,,229000000.0,,,,12503000000.0,,,,5162000000.0,3620000000.0,,332000000.0,,,,,,,,,,,,,,,,,1302000000.0,,,903000000.0,,,-9000000.0,,,,,,,3493000000.0,,2806000000.0,,,,,6452000000.0,149000000.0,149000000.0,2616000000.0,,,,1563000000.0,,,,,,,,75000000.0,,-161000000.0,431000000.0,,-468000000.0,,,,,1053000000.0,-5082000000.0,-161000000.0,,,17000000.0,,290000000.0,,,,188000000.0,-58000000.0,,,,,,,,74000000.0,,,,,223000000.0,,,7421000000.0,4065000000.0,,,,,,,,9333000000.0,12953000000.0,859000000.0,,,,,,-280000000.0,,,,647000000.0,,,647000000.0,,,,,,,,,190000000.0,,,,666000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,437000000.0,-31000000.0,126000000.0,,-176000000.0,-141000000.0,,19000000.0,,3641000000.0,2643000000.0,,521000000.0,,,-149000000.0,,-65000000.0,,,10590000000.0,,11602000000.0,3658000000.0,,1000000.0,-163000000.0,,,12292000000.0,,-67000000.0,,4896000000.0,3713000000.0,,249000000.0,-5086000000.0,,,,,,11000000.0,1055000000.0,-151000000.0,,,,3713000000.0,,,,1203000000.0,,,998000000.0,-50000000.0,,68000000.0,11602000000.0,-50000000.0,,-638000000.0,249000000.0,-27000000.0,3529000000.0,,2624000000.0,522000000.0,,,1903000000.0,6706000000.0,-65000000.0,-65000000.0,2517000000.0,,-16000000.0,,1903000000.0,12840000000.0,9909000000.0,,,9127000000.0,3529000000.0,,75000000.0,1415000000.0,-45000000.0,521000000.0,1203000000.0,-168000000.0,4896000000.0,681000000.0,,,1055000000.0,-5086000000.0,-18000000.0,,,-41000000.0,,278000000.0,,,858000000.0,-16000000.0,-210000000.0,10853000000.0,,437000000.0,866000000.0,,,,-32000000.0,278000000.0,,,,-97000000.0,944000000.0,7206000000.0,7206000000.0,3776000000.0,,5000000.0,12292000000.0,,-85000000.0,3776000000.0,,9127000000.0,12840000000.0,866000000.0,307000000.0,,,,6706000000.0,-184000000.0,,14511000000.0,,437000000.0,,-414000000.0,437000000.0,599000000.0,-1496000000.0,,-740000000.0,-47000000.0,,,,107000000.0,,-203000000.0,,599000000.0,,,-3000000.0,,,,,263000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,3348500000.0,,,,,3348500000.0,,3348500000.0,,,,,,,,-34000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34000000.0,-8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
