date,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,annualEbitda,annualRepaymentOfDebt,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualSellingGeneralAndAdministration,quarterlyInterestExpense,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualDilutedEPS,annualPurchaseOfBusiness,trailingOperatingExpense,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,annualCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,annualInvestingCashFlow,annualGoodwill,annualInterestExpense,annualStockBasedCompensation,trailingNetIncome,quarterlyNetPPE,annualCapitalStock,quarterlyTaxProvision,annualBasicEPS,quarterlyDilutedAverageShares,quarterlyEbitda,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyRetainedEarnings,annualOperatingIncome,annualTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyGoodwill,trailingPretaxIncome,annualNetIncome,annualTaxProvision,annualTotalAssets,quarterlyTotalAssets,annualPretaxIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,quarterlyBasicEPS,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,trailingTaxProvision,annualInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyBasicAverageShares,annualCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyNetIncome,annualBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualNetPPE,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualAccountsPayable,trailingSellingGeneralAndAdministration,annualInventory,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,trailingOtherIncomeExpense,trailingOperatingIncome,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualChangesInAccountReceivables,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualGrossProfit,quarterlyDepreciationAndAmortization,annualOtherNonCurrentAssets,trailingPurchaseOfBusiness,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyEndCashPosition,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyOperatingCashFlow,annualCurrentAssets,annualNonCurrentDeferredRevenue,trailingCostOfRevenue,trailingBasicEPS,annualOtherCurrentLiabilities,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,trailingInterestExpense,quarterlyCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,annualAccountsReceivable,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyAccountsReceivable,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,annualChangeInInventory,trailingChangeInInventory,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,quarterlyOtherCurrentAssets,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,annualCurrentLiabilities,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCapitalExpenditure,annualOtherShortTermInvestments,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,trailingGrossProfit,annualCostOfRevenue,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,trailingDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangeInAccountPayable,trailingFreeCashFlow,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1997-12-31,,,,26823381604.179066,-322356675.262845,,,,6670303511.208094,,2972293857.038947,367538248210.0,,-4451632612.57687,,,,,9417774251.140648,,,942273358.460623,,,10145143159.42604,0.01509,-947232691.926205,,,6729815512.79508,-32038947298.816372,-1365469814.190306,,,-5585862593.40078,,17878397143.423923,,,,3418633868.941348,,0.01509,,,0.0,,442640349137.076,16531111.551941,10497255835.482378,6909304784.103683,,,1157177808.635853,2173841169.080209,-1687826489.453151,,18992594062.02473,,,6138001719.235601,2079613833.234147,473436156847.1864,,8217615552.469748,8172981551.279508,,4904433478.807115,,27848310520.39939,,,,161851760232.75806,30081663691.066586,,27180453613.700985,1482840706.209085,,-99186669.311645,,2972293857.038947,1189284202.869801,,367538248210.0,,,,13082721682.205912,11862725649.672684,5546187925.676122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,29505000000.0,-215000000.0,,,,-10986133953.025146,,8959000000.0,372901348800.0,,15993137687.77492,,,,,10090000000.0,,,,,,2372320026.558221,0.019238,-383879492.074031,,,7964809029.795004,-99609823885.79965,-1767502697.31928,,,-19533666528.3426,,22073000000.0,,,,3443000000.0,,0.019479,,,10078000000.0,,753625090832.7662,27617229.645614,14363721138.683708,4623124242.675741,2120000000.0,,6571000000.0,21675000000.0,-785000000.0,,21359000000.0,,,7191526599.717819,2977137355.797162,804562201483.9406,,10941946385.592165,20081000000.0,,5076046808.863806,,19953000000.0,-2148000000.0,,,186377503423.6866,84213218358.37,,45633069802.9712,-10750000000.0,,,,82436618545.60544,1521709353.473317,,370284980400.0,,,,20163681817.9102,16131223836.002989,7191526599.717819,146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,0.003616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372463351807.0,,,,,,,,,,,,,,,,,,,,,,,1347000000.0,,0.003616,,,,,,,,,,,,372463351807.0,,,1347000000.0,,1347000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,3514000000.0,0.003616,299000000.0,,,1898500000.0,2738500000.0,,,31642000000.0,,,,,29084000000.0,9367000000.0,,9367000000.0,,4273500000.0,,,,28128000000.0,,,,,5313500000.0,,,,,2034000000.0,,,,,,11640000000.0,,551500000.0,,372463351807.0,6307500000.0,,,,,,,,24053000000.0,,,,,,,,,,,496520000000.0,,,1347000000.0,,0.003616,,,,,,,461522000000.0,,,80658000000.0,,372463351807.0,,,1347000000.0,,1347000000.0,,10941000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,0.003486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389299552500.0,,,,,,,,,,,,,,,,,,,,,,,1357000000.0,,0.003486,,,,,,,,,,,,389299552500.0,,,1357000000.0,,1357000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,4230000000.0,,6541000000.0,26083000000.0,-599000000.0,,,,6155621897.243432,58309770848.97114,6179000000.0,380796355200.0,,533277260.256244,21300000000.0,67918100716.64294,,6179000000.0,10350000000.0,,,,,2342000000.0,2392416073.508477,0.022908,973131402.873043,,,9608460230.361073,-175189516474.6991,-1514658014.10638,,,-27999350546.784004,,17214000000.0,,,22459588066.196453,4230000000.0,,0.022908,,,0.0,,928676630784.91,4991743807.428497,33311160828.91161,22052256807.29908,2342000000.0,23954000000.0,7982000000.0,21575000000.0,-2858000000.0,,23954000000.0,,,8742017652.387732,3294421593.115051,993365778050.99,993365778050.99,12902881823.476124,21300000000.0,4691017652.387731,6194250969.328329,,13166000000.0,-1938000000.0,,,294444444226.4139,147723610052.4136,928676630784.91,58309770848.97114,2755000000.0,294444444226.4139,,,67918100716.64294,1614880849.618222,4691017652.387731,380796355200.0,5557460230.361072,,13166000000.0,22459588066.196453,34825818843.01799,8742017652.387732,6541000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,0.004488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392834056311.0,,,,,,,,,,,,,,,,,,,,,,,1763000000.0,,0.004575,,,,,,,,,,,,385351502857.0,,,1763000000.0,,1763000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,4266000000.0,,6372826514.853284,,,2395000000.0,3316000000.0,,,35319000000.0,,,,,,3494000000.0,,3494000000.0,,5374000000.0,,,,,,,,,6103000000.0,,,,,2603000000.0,,,,,,12505000000.0,,632000000.0,,,7978000000.0,,,,,,,,31053000000.0,,,,,,,,,,,580355216061.5328,,,1762456500.015141,,,,,,,,,580355216061.5328,,,109646000000.0,,,,,1762456500.015141,,2180510583.532689,,15428000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,0.003704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419050955294.0,,,,,,,,,,,,,,,,,,,,,,,1552000000.0,,0.003704,,,,,,,,,,,,419050955294.0,,,1552000000.0,,1552000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,4634000000.0,,15089000000.0,34662000000.0,-708000000.0,,,,11157234859.600908,68063692223.0852,5006000000.0,406914138000.0,,-3661166539.610467,11880000000.0,70655106797.70583,,5006000000.0,8057000000.0,,,,,11397000000.0,2449517853.984944,0.024405,-13591833009.021387,,,11257317585.434341,-130822080742.9203,-1987990949.934281,,,-7529287922.392162,,24023000000.0,,,20941870286.17517,4634000000.0,,0.02473,,,0.0,,927433063792.269,5660772859.959374,20749194807.32465,2071632326.442825,11397000000.0,26234000000.0,9775000000.0,24952000000.0,-130822080742.9203,,26234000000.0,,,9899628932.36946,3342694323.395866,1006413533073.2465,1006413533073.2465,14600011908.830208,11880000000.0,4822628932.369459,7496068319.990441,,32298000000.0,-2193000000.0,,,300008953524.9134,268915035305.89078,927433063792.269,68063692223.0852,2038000000.0,300008953524.9134,-830445437.029514,,70655106797.70583,1290477470.127853,4822628932.369459,402874832400.0,6180317585.434341,,32298000000.0,20941870286.17517,22737185757.25893,9899628932.36946,15089000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,0.006022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431942913169.0,,,,,,,,,,,,,,,,,,,,,,,2601000000.0,,0.006176,,,,,,,,,,,,421155006350.0,,,2601000000.0,,2601000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,4667000000.0,0.004139,14011772123.204216,,,2450000000.0,3847000000.0,,,46035000000.0,,,,,15281000000.0,4464000000.0,,4464000000.0,,6014000000.0,,,,,,,,,6785000000.0,,,,,2717000000.0,,,,,,13600000000.0,,680000000.0,,427799184000.0,8732000000.0,,,,,,,,41368000000.0,,,,,,,,,,,697305562324.672,,,1770000000.0,,0.004139,,,,,,,697305562324.672,,,156702000000.0,,422750052000.0,,,1770000000.0,,1770000000.0,,26149000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,0.00207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419392016842.0,,,,,,,,,,,,,,,,,,,,,,,868000000.0,,0.00207,,,,,,,,,,,,419392016842.0,,,868000000.0,,868000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
